PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,10/13/22,15:04:41,1,1,Kenny Lippman,lippmke42,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,0,0,Four-Seam,,BallCalled,,,,0,0,,91.29390808,-1.600667111,-4.619780201,2309.954507,224.0516753,1:30,5.469373832,3.422613663,7.270070464,-21.26812414,12.74180758,9.594546484,2.547049223,-1.188515665,81.85435299,-4.31039068,-4.106159918,0.413317907,,,,,,,,,,,,-6.459729707,7.303400404,-3.099563704,50,5.346527016,10.43182998,-132.5164048,-4.32618246,-11.4414165,29.359325,-19.23833096,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,e4f27cde-4b29-11ed-bba4-1f3a1a12b8ce,91.47734033,5.468712597,3.426688368,-1.593584196,-4.667422231,82.00988841,2.547972008,-1.191584317,-4.294543866,-4.155972631,0.413180931,10.06325066,11.4890963,-35.6631966,99.90898795,1876.741454,-1346.748433,81.24581882,-0.583924255,-0.583019461,-0.564907755,,,,,,,,,,,,,,,,,0.997329285,1,,,high,high,0.08935176,33.22989675,54.04992954,James Heffley,hefflja42,Maryland
2,10/13/22,15:04:54,1,2,Kenny Lippman,lippmke42,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,1,0,Four-Seam,,InPlay,,FlyBall,HomeRun,0,1,,91.64107296,-1.761860952,-4.0533546,2372.599877,224.6675993,1:30,5.427189271,3.523507625,7.378103373,-20.54692833,12.85296942,10.07888287,2.311962653,-0.08753364,82.38220928,-4.670537744,-3.229350898,0.410695976,97.58920679,31.18975627,-0.063425352,,,,,351.5101797,,-0.04270219,4.035048727,-6.632965639,7.476917794,-3.248416406,50,5.29703881,9.146374242,-133.1286359,-4.687688498,-11.85066824,29.77448929,-18.81554948,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,ecce2494-4b29-11ed-ba39-0781a38ad0fd,91.82483443,5.42665497,3.527767822,-1.756335306,-4.102734762,82.53611303,2.312780989,-0.090668694,-4.656485488,-3.280182398,0.410559236,10.55750839,11.6255458,-32.40036261,93.26072778,2003.24428,-1271.315276,84.43245317,-0.600481183,-0.535832143,-0.593553927,-0.092414489,83.48330554,50.53892002,0.142747712,0.246298154,2.13836222,-0.261978337,351.510082,,,,,,,,,0.997634519,1,,54.97931729,high,high,6.065453324,-44.86931022,53.94189663,James Heffley,hefflja42,Maryland
3,10/13/22,15:05:38,2,1,Kenny Lippman,lippmke42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,0,0,0,Slider,,BallCalled,,,,0,0,,82.24829177,-1.355689814,-4.805746927,2690.149426,120.1683905,10:00,5.251000729,3.848502767,7.401010965,-33.47019954,6.146632903,-5.839710457,1.261355505,-0.535642145,76.19453508,-7.346450002,-5.111730731,0.457756311,,,,,,,,,,,,1.934632578,4.025282564,-3.516455219,50,5.14349926,10.19431388,-119.3900168,-3.717426408,2.780030009,23.93500626,-26.38979554,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,069a69dc-4b2a-11ed-89eb-17680b78a08c,82.3880564,5.246267516,3.850930034,-1.302522328,-4.833826336,76.30249524,1.265019322,-0.537096014,-7.286674746,-5.135019691,0.457626515,-5.573022161,4.30548184,-79.51160488,60.58509176,489.7050036,-2645.201872,18.20363578,-0.091481108,-0.9832918,0.15737993,,,,,,,,,,,,,,,,,0.996809712,1,,,high,high,35.47342561,4.049958469,53.91898903,James Heffley,hefflja42,Maryland
4,10/13/22,15:05:54,2,2,Kenny Lippman,lippmke42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,0,1,0,Slider,,StrikeCalled,,,,0,0,,82.68768411,-0.675288854,-5.552853353,2780.432057,120.309836,10:00,5.233922902,3.819316925,6.991123095,-34.28313353,6.453716296,-4.824269315,2.071434035,-1.037857767,76.22291507,-6.057671961,-6.118170533,0.459372765,,,,,,,,,,,,1.019201839,3.715474088,-3.395994633,50,5.165119541,11.7873934,-119.8336717,-2.393698777,1.476202697,24.00752695,-26.79259063,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,100c7d3d-4b2a-11ed-94b7-079fb132e81e,82.82776175,5.229698732,3.822296031,-0.62472949,-5.589291278,76.33750316,2.075038773,-1.039990857,-5.999107583,-6.152015351,0.459246275,-4.483412446,4.60158604,-82.67644285,18.86797005,354.4283536,-2757.74962,12.74724023,-0.064332241,-0.991842118,0.110048063,,,,,,,,,,,,,,,,,0.99764918,1,,,high,high,73.01884492,27.83254687,54.32887691,James Heffley,hefflja42,Maryland
5,10/13/22,15:06:08,2,3,Kenny Lippman,lippmke42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,0,1,1,Four-Seam,,StrikeSwinging,,,,0,0,,92.67617212,-1.682072628,-3.493721811,2600.183461,219.8496256,1:15,5.442917678,3.594102487,7.415596356,-18.79312323,14.04002264,9.378455557,2.603055122,0.191861516,82.93050059,-4.105437903,-3.128457694,0.405644793,,,,,,,,,,,,-6.060480722,8.057087313,-3.359570438,50,5.320394813,7.959477314,-134.7280808,-4.493644617,-11.08240952,30.67041724,-17.44057459,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,18903fe1-4b2a-11ed-8f28-399a81ff1696,92.86487388,5.442932848,3.598210668,-1.68286251,-3.541375898,83.08871148,2.603462496,0.18887916,-4.097930593,-3.177606219,0.405507643,9.845067048,12.86836425,-36.17958476,90.11279819,2098.7919,-1534.935371,80.71706981,-0.619688206,-0.590318104,-0.517214717,,,,,,,,,,,,,,,,,0.997654061,1,,,high,high,8.898557017,-13.23914169,53.90440364,James Heffley,hefflja42,Maryland
6,10/13/22,15:06:28,2,4,Kenny Lippman,lippmke42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,0,1,2,Four-Seam,,InPlay,,FlyBall,Out,1,0,,91.51819343,-1.862714731,-4.036877755,2483.077827,222.5950318,1:30,5.411005498,3.555407615,7.333762401,-20.18005223,13.48537397,9.709598228,2.333541735,-0.275283178,82.15378778,-4.60556819,-3.667801723,0.411628835,102.0076257,32.15698014,18.80127062,,,,,376.470814,,18.82049737,4.282924354,-6.392950201,7.788761944,-3.278234482,50,5.272437957,9.10401033,-132.935425,-4.909907431,-11.38838854,29.6958343,-18.29916484,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,249e52a3-4b2a-11ed-9863-71d28388544c,91.70306623,5.410661189,3.55960075,-1.859314829,-4.085780735,82.30866662,2.334211431,-0.278363138,-4.593790938,-3.718047741,0.411491122,10.19154655,12.26960065,-35.74012484,94.80797317,2015.451362,-1450.390052,81.16746644,-0.597518993,-0.584109783,-0.549351266,27.83233843,81.75101424,54.29261741,0.377341921,0.995512812,2.437838737,121.4511167,356.3423916,,,,,,,,,0.997807228,1,,57.72269403,high,high,4.672967947,3.914316754,53.9862376,James Heffley,hefflja42,Maryland
7,10/13/22,15:06:58,3,1,Kenny Lippman,lippmke42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Windup,1,Top,1,0,0,Four-Seam,,StrikeSwinging,,,,0,0,,91.41204369,-2.585825194,-3.892391009,2454.391,217.1006837,1:15,5.471820107,3.573247177,7.435846725,-18.41382351,13.92927423,8.340042424,1.7988839,0.480868012,83.65489575,-5.169766746,-2.698924767,0.411332404,,,,,,,,,,,,-5.69409265,8.499614282,-3.312419996,50,5.288174707,8.796695738,-132.7648075,-6.546389724,-10.12136302,29.51676517,-17.06581603,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,365dff75-4b2a-11ed-99a8-313b914e5398,91.59610666,5.471678048,3.576955405,-2.584818346,-3.935765205,83.81202518,1.799342956,0.478168426,-5.161562239,-2.742861458,0.411195119,8.750489134,12.79176425,-34.86557938,75.15731171,2013.816632,-1403.06014,82.04954432,-0.654408074,-0.571653066,-0.494937214,,,,,,,,,,,,,,,,,0.998125966,1,,,high,high,22.35845538,-44.19759805,53.88415328,James Heffley,hefflja42,Maryland
8,10/13/22,15:07:14,3,2,Kenny Lippman,lippmke42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Windup,1,Top,1,0,1,Four-Seam,,BallCalled,,,,0,0,,92.4307972,-0.498548605,-4.956761234,2413.426711,221.7945718,1:30,5.467047194,3.596884502,7.40572954,-19.81789765,12.949994,9.23648913,3.557606854,-1.250072997,83.0033596,-3.196571383,-3.691161486,0.407314078,,,,,,,,,,,,-6.433477207,7.22047782,-3.26123179,50,5.424684373,11.37346956,-134.1727412,-1.734159281,-11.67386928,30.27545658,-19.07212795,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,3ff7526b-4b2a-11ed-a2e8-43cd1102ed1b,92.62255951,5.46670465,3.601077025,-0.495408081,-5.004451606,83.1610999,3.558266779,-1.252990631,-3.184913474,-3.739413852,0.407175726,9.70150558,11.74737435,-37.74555187,69.16010397,1908.386031,-1477.393396,79.07370969,-0.589525458,-0.612155898,-0.526996101,,,,,,,,,,,,,,,,,0.833725593,1,,,high,high,27.75591705,-54.37239655,53.91427046,James Heffley,hefflja42,Maryland
9,10/13/22,15:07:28,3,3,Kenny Lippman,lippmke42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Windup,1,Top,1,1,1,Changeup,,BallCalled,,,,0,0,,84.17325918,-2.211982334,-7.149094372,2011.850508,239.318974,2:00,5.322238451,3.888959966,7.570796948,-27.24365727,9.8061793,13.23578106,1.255961681,-0.444957211,78.21389931,-6.585874618,-3.086242354,0.447583281,,,,,,,,,,,,-9.598653459,6.266262968,-3.424029596,50,5.165072453,14.91193226,-121.6506482,-5.465761179,-14.3436005,24.4898754,-22.81015568,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,481206d7-4b2a-11ed-9ab3-a5e3da8aebd5,84.33264819,5.31955345,3.893890087,-2.181431257,-7.205844843,78.34403307,1.258159828,-0.448414811,-6.549571983,-3.142495264,0.447446768,13.76304379,8.273351924,-6.540360206,17.08570174,1998.757116,-229.1559633,99.34918666,-0.506937314,-0.113903077,-0.854424162,,,,,,,,,,,,,,,,,0.997048599,1,,,high,high,74.62288243,-33.77146,53.74920305,James Heffley,hefflja42,Maryland
10,10/13/22,15:07:44,3,4,Kenny Lippman,lippmke42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Windup,1,Top,1,2,1,Slider,,InPlay,,LineDrive,Single,0,0,,86.12363053,0.182102369,-2.511037601,2707.185936,149.8015641,11:00,5.296724585,3.887264043,,-35.47340307,8.283048904,-3.378263355,2.633900228,0.061313893,76.64889988,-5.536124717,-4.981932321,0.464505912,,,,,,,,,,,,1.054560675,3.473948355,-3.56363665,50,5.275102186,5.63012547,-124.7091063,-1.147371583,1.657136448,25.59070286,-26.71508779,Maryland,Maryland,shi01,NCAA D1,BIG10,5e1b1596-f962-4774-bbfc-c013d373a3ca,51a099d9-4b2a-11ed-b872-b38474d501d2,86.30120604,5.291641139,3.891454796,0.23265777,-2.553942236,76.78562206,2.63758835,0.058758714,-5.478254511,-5.021184064,0.464345653,-2.931187962,6.260133939,-81.3148673,20.36170036,408.7967303,-2676.142919,15.10043048,-0.130511289,-0.988533105,0.075954615,,,,,,,,,,,,,,,,,0.997610333,1,,,high,high,71.67446841,17.65361996,57.27314848,James Heffley,hefflja42,Maryland
