PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
20,10/22/22,14:14:55,1,1,Nick Dean,dean-ni43,Right,Maryland,Ethan O'donnell,,Left,Virginia,Windup,1,Bottom,0,0,0,Four-Seam,,BallCalled,,,,0,0,,94.98988313,-2.621178969,-4.066712271,2299.168629,212.973748,1:00,6.695630223,1.466001246,6.008983411,-15.87675755,15.24339659,8.961347551,2.933010729,-1.566331902,86.36360242,-5.604849551,-2.380006863,0.401506326,,,,,,,,,,,,-6.037443553,9.011755795,-1.146076894,50,6.476873687,9.48828519,-137.7628386,-6.865272344,-11.54379243,32.05433651,-14.94327344,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,6e5895b3-5235-11ed-8d9c-a5d79fafbf1a,95.17854774,6.69593201,1.468966547,-2.62532175,-4.102275291,86.53748495,2.933190172,-1.569284021,-5.601659954,-2.419715024,0.401373024,9.288266972,14.17000054,-0.297638468,90.82210801,2299.137607,-11.94360146,99.99865072,-0.838908706,-0.005194748,-0.544247369,,,,,,,,,,,,,,,,,0.997171683,1,,,high,medium,8.260096312,39.48533586,54.57101659,Luke Shliger,shliglu42,Maryland
21,10/22/22,14:15:08,1,2,Nick Dean,dean-ni43,Right,Maryland,Ethan O'donnell,,Left,Virginia,Windup,1,Bottom,0,1,0,Four-Seam,,BallCalled,,,,0,0,,95.31088499,-2.616629935,-3.441458356,2281.734967,211.5238388,1:00,6.684711961,1.318944831,6.025942221,-15.59354302,15.25737934,8.567574557,3.63385261,1.111708164,85.40950483,-4.166569619,1.52993749,0.399765764,,,,,,,,,,,,-5.645626667,9.024196969,-1.049882024,50,6.467467272,8.02574268,-138.3301082,-6.866523571,-10.88172383,32.37110791,-14.7802641,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,7696c80f-5235-11ed-9929-a9f0f734eb27,95.50006684,6.685036302,1.321718475,-2.62104986,-3.474808402,85.57516577,3.63398645,1.109433682,-4.163977669,1.494092963,0.399633584,8.874072802,14.18933323,2.974491449,89.6801961,2278.660868,118.4023157,99.86527362,-0.851274259,0.051891353,-0.522148852,,,,,,,,,,,,,,,,,0.99811368,1,,,high,high,9.287837266,47.50233936,54.55405778,Luke Shliger,shliglu42,Maryland
22,10/22/22,14:15:23,1,3,Nick Dean,dean-ni43,Right,Maryland,Ethan O'donnell,,Left,Virginia,Windup,1,Bottom,0,2,0,Four-Seam,,BallCalled,,,,0,0,,93.32012047,-3.311242969,-3.003645728,2289.856691,210.0513394,1:00,6.672051413,1.115620249,6.2067915,-16.38304323,15.57632185,8.380494349,2.813003631,1.237502068,84.36729092,-5.331242356,2.532774156,0.406883983,,,,,,,,,,,,-5.442963068,9.453141352,-0.890515792,50,6.410152118,6.836256367,-135.4569142,-8.378372986,-10.06215954,30.97619219,-14.69845491,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,7f4a2823-5235-11ed-aff5-05a4fe152dbf,93.50187302,6.672245073,1.118144315,-3.314110221,-3.034703444,84.52704115,2.813199366,1.235422801,-5.327725227,2.499476348,0.406751014,8.664384066,14.46555332,7.695224421,84.21030696,2269.235075,306.6200272,99.09943638,-0.857781964,0.133903588,-0.496265989,,,,,,,,,,,,,,,,,0.997852871,1,,,high,high,14.21071289,-1.637736676,54.3732085,Luke Shliger,shliglu42,Maryland
23,10/22/22,14:15:40,1,4,Nick Dean,dean-ni43,Right,Maryland,Ethan O'donnell,,Left,Virginia,Windup,1,Bottom,0,3,0,Four-Seam,,StrikeCalled,,,,0,0,,93.80081336,-3.404929415,-4.817526042,2250.914671,209.7317126,1:00,6.778219232,1.041462076,6.079693869,-16.27729919,15.63260198,8.224251867,3.129187297,-0.49922158,83.6763653,-4.734438808,-0.029280252,0.406568991,,,,,,,,,,,,-5.857146368,9.464095377,-0.666692068,50,6.500572828,11.17379436,-135.8265337,-8.65170272,-10.89665325,30.90067838,-14.56701722,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,896fd902-5235-11ed-815d-9ba33a43b7c8,93.9842585,6.778449422,1.043993397,-3.408248945,-4.848606573,83.83786148,3.129414999,-0.501341673,-4.730272307,-0.062932636,0.406436636,8.510273189,14.55637761,2.487784171,91.74580014,2248.793181,97.70406486,99.90574988,-0.867538723,0.043406383,-0.495471948,,,,,,,,,,,,,,,,,0.997630928,1,,,high,high,7.428757581,36.21224193,54.50030613,Luke Shliger,shliglu42,Maryland
24,10/22/22,14:15:54,1,5,Nick Dean,dean-ni43,Right,Maryland,Ethan O'donnell,,Left,Virginia,Windup,1,Bottom,0,3,1,Four-Seam,,BallCalled,Walk,,,0,0,,93.83249012,-3.363960238,-3.554278215,2234.953289,210.8602321,1:00,6.732004987,1.019264788,6.114626405,-16.59522206,15.15472868,8.457068469,2.803590365,1.151458808,83.64581775,-5.32656924,2.773086686,0.405548734,,,,,,,,,,,,-5.625159544,9.20627186,-0.7464828,50,6.460041843,8.173656512,-136.1020777,-8.565152697,-10.50363622,31.13012649,-14.98354507,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,91ab89cc-5235-11ed-8c38-61b627ad58a7,94.01529972,6.732071297,1.021813879,-3.365241372,-3.585255481,83.80479831,2.803938367,1.149363074,-5.32061776,2.73956501,0.405416383,8.740986496,14.05118889,8.637522635,93.4993982,2209.604983,335.6516385,98.86582391,-0.848685131,0.150182843,-0.507127857,,,,,,,,,,,,,,,,,0.997363658,1,,,high,high,5.850596118,-39.19989077,54.4653736,Luke Shliger,shliglu42,Maryland
25,10/22/22,14:16:32,2,1,Nick Dean,dean-ni43,Right,Maryland,Kyle Teel,,Left,Virginia,Stretch,1,Bottom,0,0,0,Changeup,,BallCalled,,,,0,0,,82.28507964,-0.737970759,-3.455220569,1684.002434,229.0623243,1:45,6.897813814,0.813279342,6.182451759,-29.93194158,11.10802581,10.8591954,4.149566305,0.946881273,74.0595793,-5.305166464,2.012125586,0.461078664,,,,,,,,,,,,-6.916476118,6.258860321,-0.553478415,50,6.82531422,6.907687272,-119.5734675,-2.402824842,-9.966563281,24.06985325,-23.15510318,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,a87605c5-5235-11ed-bdd6-25eee5c995c9,82.44475506,6.895236038,0.816390848,-0.707095494,-3.493386567,74.19458682,4.152191828,0.944271894,-5.263107871,1.970612065,0.460929256,11.20838584,9.371861261,9.214075793,88.4145636,1662.273678,269.6486887,98.70969572,-0.646783135,0.160123693,-0.745675519,,,,,,,,,,,,,,,,,0.997768941,1,,,high,high,10.42699485,60.03342507,54.39754824,Luke Shliger,shliglu42,Maryland
26,10/22/22,14:16:53,2,2,Nick Dean,dean-ni43,Right,Maryland,Kyle Teel,,Left,Virginia,Stretch,1,Bottom,0,1,0,Four-Seam,,StrikeSwinging,,,,0,0,,93.30963777,-3.623856325,-3.917874369,2209.368135,209.574152,1:00,6.707577071,1.091081316,6.135837446,-17.33032217,15.61491161,7.961139763,2.597149556,0.768281766,83.60376898,-5.387154549,1.767965236,0.407877745,,,,,,,,,,,,-5.512087901,9.467137523,-0.791038919,50,6.416532421,8.99920866,-135.257617,-9.131546002,-10.16828052,30.6612544,-14.70979434,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,b51d2e05-5235-11ed-852e-2f82857f8e74,93.49122007,6.707726582,1.093561144,-3.626126538,-3.948379454,83.76276202,2.597444245,0.766208829,-5.382008949,1.734955973,0.407744989,8.26937504,14.39222514,2.605590703,81.43413714,2207.083955,100.4389007,99.89661387,-0.868818507,0.045460464,-0.493039296,,,,,,,,,,,,,,,,,0.997552829,1,,,high,high,16.70953967,70.21271685,54.44416255,Luke Shliger,shliglu42,Maryland
27,10/22/22,14:17:18,2,3,Nick Dean,dean-ni43,Right,Maryland,Kyle Teel,,Left,Virginia,Stretch,1,Bottom,0,1,1,Changeup,,InPlay,,FlyBall,Out,1,0,,83.35601024,-2.06262274,-3.311129712,1676.897623,225.6552491,1:30,6.743159683,0.838574653,6.308309183,-28.25659312,11.54714784,10.16607873,3.195627095,0.822539915,75.52569081,-5.782370622,1.634054764,0.454081144,,,,,,,,,,30.03978235,4.503980698,-6.515022452,6.9083313,-0.596513236,50,6.574950279,6.717936717,-121.1097223,-5.171821275,-9.637371292,24.54353313,-21.95487471,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,c3bcae82-5235-11ed-b189-9b0947c9c900,83.51438862,6.740876796,0.841464739,-2.03522229,-3.346719754,75.66213279,3.1979415,0.820127044,-5.745228191,1.595579516,0.453935826,10.49078744,9.916675063,8.444999244,83.21047245,1658.715519,246.2690916,98.91572963,-0.691395296,0.146859944,-0.707392891,29.32799827,72.54768498,41.99801171,-0.717488444,1.783266201,3.349554708,168.5209495,291.4193701,56.38537223,10.75289765,1.012116031,0.868626357,-0.039997683,-0.493850622,,,0.997073092,1,0.99755313,49.59664874,high,high,15.11058556,60.976322,54.27169082,Luke Shliger,shliglu42,Maryland
28,10/22/22,14:18:17,3,1,Nick Dean,dean-ni43,Right,Maryland,Jake Gelof,,Right,Virginia,Stretch,1,Bottom,1,0,0,Changeup,,InPlay,,LineDrive,Single,0,0,,82.70478349,-2.532457914,-4.322020675,1730.952957,225.9008084,1:30,6.862101735,0.669907157,6.192603403,-28.99950383,11.71915478,10.62281763,2.621946572,-0.177084106,74.79817923,-6.800599675,1.059229682,0.459270186,,,,,,,,,,-10.5740748,1.795397315,-7.026239984,7.107766024,-0.343894186,50,6.652286774,8.760674429,-119.9644294,-6.155970287,-10.20399536,23.95339805,-21.85165642,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,e7646f4f-5235-11ed-a169-c7b2a22afe33,82.86130373,6.85967474,0.672784848,-2.503187737,-4.357402876,74.93000065,2.624362644,-0.179452546,-6.761769206,1.021249847,0.459125359,10.94751607,10.06297095,12.79684198,85.08079159,1687.958792,383.3969943,97.51615637,-0.678617531,0.221494751,-0.700298738,-17.26551983,75.54620334,22.46820172,0.127394552,2.369844746,2.785403443,-32.28285137,172.9346205,10.63288172,-17.45113103,-0.223515868,-0.716406182,0.0553101,-0.695487581,,,0.998054863,1,0.997262808,44.34004025,high,high,13.42729269,48.7966563,54.3873966,Luke Shliger,shliglu42,Maryland
29,10/22/22,14:19:02,4,1,Nick Dean,dean-ni43,Right,Maryland,Ethan Anderson,,Left,Virginia,Stretch,1,Bottom,1,0,0,Four-Seam,,BallCalled,,,,0,0,,92.42541662,-2.635927066,0.868549181,2119.047209,214.1714109,1:15,6.368600952,,,-18.3063265,14.47002503,8.834819389,2.395254055,1.341545541,84.17437312,-6.068522859,2.536402524,0.412051811,,,,,,,,,,,,-4.519076424,8.610079793,0.126222406,50,6.147361333,-2.331229835,-134.3471789,-6.796019988,-8.203201208,30.95397236,-16.54470183,Virginia Fall '22,Maryland,dav02,NCAA D1,ACC,5900e2f6-75b0-4c7a-b1fc-0bf1f86c7648,01f53a59-5236-11ed-8e4f-27d2abc2a9f7,92.61454806,6.368306096,-0.197778239,-2.63310767,0.834003751,84.32958805,2.395873125,1.339384629,-6.058310382,2.501776469,0.411924505,9.159081201,13.20887613,9.212154157,86.00164859,2091.716431,339.2395111,98.7102327,-0.816689905,0.160090587,-0.554426373,,,,,,,,,,,,,,,,,0.997228751,0,,,medium,high,12.59878231,74.19283775,54.58,Luke Shliger,shliglu42,Maryland
