PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,10/28/22,19:02:13,1,1,Jason Savacool,savacja42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,0,0,Four-Seam,,StrikeCalled,,,,0,0,,90.94008338,-1.388980549,-4.534261683,,,,6.054940506,2.563902492,6.683137157,,,,3.043211604,-0.348412189,82.64499012,-4.800320103,-2.124756015,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,8fe7a6c7-5714-11ed-9adb-09d52267d5a7,91.08474535,6.050799482,2.563902492,-1.339142906,-4.534261683,82.76626817,3.046828037,-0.348412189,-4.742202111,-2.124756015,0.418692331,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.63686284,Luke Shliger,shliglu42,Maryland
2,10/28/22,19:02:27,1,2,Jason Savacool,savacja42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,0,1,Slider,,BallCalled,,,,0,0,,83.88837364,-1.862900727,-3.619333246,,,,6.250745841,2.547272913,6.33031506,,,,1.444854789,-1.122821493,74.85332024,-8.480002664,-4.022275026,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,986db4a3-5714-11ed-8983-6b9671e697ce,84.01962093,6.245871945,2.547272913,-1.803825414,-3.619333246,74.9523399,1.449357225,-1.122821493,-8.408286684,-4.022275026,0.45662979,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.98968494,Luke Shliger,shliglu42,Maryland
3,10/28/22,19:02:42,1,3,Jason Savacool,savacja42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,1,1,Slider,,BallCalled,,,,0,0,,83.88768552,-2.308172934,-3.980193277,2348.061378,,,6.224844756,2.541184515,5.89988025,,,,1.437317206,0.181483506,76.37675053,-8.081620668,-0.86337807,0.462490709,,,,,,,,,,,,-9.994914834,5.953394289,-2.176938449,50,5.981834148,7.874388725,-121.5114432,-5.991299628,-14.83701676,25.39464081,-23.33649446,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,a0d73bd7-5714-11ed-8ae9-55ea1ab233a4,84.04845164,6.221924268,2.547241969,-2.274195212,-4.052059059,76.51370523,1.440801034,0.175593627,-8.034782021,-0.942289378,0.462345615,17.44741929,8.152566658,-7.226059498,22.84938898,2329.412121,-295.3496308,99.2057594,-0.416080979,-0.125784459,-0.900585858,,,,,,,,,,,,,,,,,0.935813158,1,,,high,medium,69.43557034,-7.223275349,55.42011975,Luke Shliger,shliglu42,Maryland
4,10/28/22,19:02:58,1,4,Jason Savacool,savacja42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,2,1,Sinker,,Foul,,,,0,0,,90.86421445,-2.388392849,-2.998497405,,,,6.087248425,2.654395452,6.22511532,,,,1.851764245,0.827776077,82.76330944,-6.575254093,-0.66308692,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,aaedf54c-5714-11ed-9618-3d86a5b0d772,91.00885179,6.082946805,2.654395452,-2.337438851,-2.998497405,82.88176435,1.855469247,0.827776077,-6.51649395,-0.66308692,0.42229652,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,55.09488468,Luke Shliger,shliglu42,Maryland
5,10/28/22,19:03:17,1,5,Jason Savacool,savacja42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,2,2,Slider,,StrikeSwinging,Strikeout,,,1,0,,84.6029102,-2.097281764,-3.916043218,,,,6.294396736,2.424104804,6.441100152,,,,1.506023084,-1.60090416,77.33473641,-8.005501456,-4.923842935,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,b5b80c07-5714-11ed-8bad-5d53e349f755,84.73548422,6.289491163,2.424104804,-2.03891298,-3.916043218,77.43956982,1.510231012,-1.60090416,-7.938319747,-4.923842935,0.452020228,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.87889985,Luke Shliger,shliglu42,Maryland
6,10/28/22,19:03:41,2,1,Jason Savacool,savacja42,Right,Maryland,J.j. Wetherholt,wethejj42,Left,West Virginia,Windup,1,Top,1,0,0,Curveball,,StrikeCalled,,,,0,0,,81.06906232,0.175100467,-1.369719038,2470.227463,25.41128482,6:45,6.429005286,2.102408989,6.458434759,-54.05911868,-10.92185967,-7.453763291,2.601401077,-0.181981999,73.9898112,-8.495387851,-3.449041031,0.473497188,,,,,,,,,,,,3.740321923,-6.027828097,-1.98128064,50,6.409736056,3.055154627,-117.8267265,-1.301526274,5.184430546,25.31840584,-40.52917429,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,c42a6ee8-5714-11ed-ba17-abd28d6f6e7a,81.15645321,6.417873621,2.103729286,0.309979313,-1.3861528,74.03737029,2.610052077,-0.182950107,-8.357129387,-3.464440805,0.473412584,-7.267348362,-14.02561742,-44.26638792,51.52326255,1768.935629,-1724.207197,71.6102325,0.646819993,-0.697995315,0.307288848,,,,,,,,,,,,,,,,,0.993624702,1,,,high,high,43.62908998,-83.6179705,54.86156524,Luke Shliger,shliglu42,Maryland
7,10/28/22,19:04:09,2,2,Jason Savacool,savacja42,Right,Maryland,J.j. Wetherholt,wethejj42,Left,West Virginia,Windup,1,Top,1,0,1,Four-Seam,,Foul,,,,0,0,,92.92994492,-2.941382628,-2.446625716,,,,6.510418052,2.148049105,6.597760153,,,,2.730262272,0.306443955,84.73071922,-5.135406071,-1.128876552,0.412062659,81.49895845,51.37546941,-79.04805621,,-108.0899515,20.40985981,96.96172313,275.9007692,,-79.15135071,5.083935533,-9.326500014,0.036227546,-1.95577713,50,6.247034671,5.217926963,-134.8714538,-8.113531502,-17.00021993,32.18366821,-32.1080145,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,d4d70e0c-5714-11ed-9e42-275539c421b3,93.07775941,6.506399605,2.155632202,-2.89359713,-2.537935938,84.85251014,2.733602294,0.300647251,-5.080922577,-1.222830504,0.411952939,17.60133099,-2.741877571,-41.78605964,79.30742341,2449.56691,-2189.093412,74.56381441,0.144962549,-0.666351077,-0.731411034,-49.94624961,9.665099818,63.67132968,-0.15670654,-0.63703071,2.423184897,-270.9698136,51.92874535,,,,,,,,,0.949532681,1,,32.71492532,high,high,18.62344885,66.35219162,54.72223985,Luke Shliger,shliglu42,Maryland
8,10/28/22,19:04:24,2,3,Jason Savacool,savacja42,Right,Maryland,J.j. Wetherholt,wethejj42,Left,West Virginia,Windup,1,Top,1,0,2,Splitter,,BallCalled,,,,0,0,,88.77861932,-1.164563625,-1.140679692,1635.715823,199.2610529,12:45,6.572035963,2.357779941,5.536389572,-28.74215164,9.503973269,2.034794433,3.276986453,1.90602235,79.66785767,-5.674803148,0.747189902,0.437787387,,,,,,,,,,,,-1.294075322,5.319977398,-2.244246872,50,6.430733939,2.494488499,-128.9382979,-3.683680174,-2.17447686,27.27463332,-23.23471851,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,de205a2e-5714-11ed-873a-41ff7f2f441a,88.95600506,6.569621097,2.360083952,-1.136783499,-1.167928428,79.81426775,3.27947612,1.904189378,-5.634981034,0.718048572,0.437639496,2.33061022,7.900583527,-58.13857373,17.06367285,863.4398265,-1389.258046,52.78666468,-0.498319524,-0.849327265,-0.174128829,,,,,,,,,,,,,,,,,0.961998972,1,,,high,high,105.3573146,20.81150168,55.78361043,Luke Shliger,shliglu42,Maryland
9,10/28/22,19:04:35,2,4,Jason Savacool,savacja42,Right,Maryland,J.j. Wetherholt,wethejj42,Left,West Virginia,Windup,1,Top,1,1,2,Slider,,Foul,,,,0,0,,84.67805184,-1.344292129,-2.588278241,,,,6.314727835,2.544034722,6.297903975,,,,2.052647326,-0.019371168,76.04756451,-7.849776944,-2.430833595,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,e4d5f54a-5714-11ed-9184-ab1b927c4230,84.81227649,6.309921661,2.544034722,-1.286367314,-2.588278241,76.14995721,2.056965902,-0.019371168,-7.780691855,-2.430833595,0.45206206,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,55.02209602,Luke Shliger,shliglu42,Maryland
10,10/28/22,19:05:02,2,5,Jason Savacool,savacja42,Right,Maryland,J.j. Wetherholt,wethejj42,Left,West Virginia,Windup,1,Top,1,1,2,Splitter,,InPlay,,FlyBall,Single,0,0,,88.76587022,-2.152800075,-1.697187906,,,,6.530633423,2.259403276,6.504700595,,,,2.234939419,1.42255437,79.79444558,-7.216487901,0.371690613,,81.49694684,21.63533163,-3.422956002,,,,,233.4209394,,-3.768819818,2.587546042,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,f4b9a523-5714-11ed-84b4-b368c4f02be6,88.90395785,6.526345197,2.259403276,-2.100629323,-1.697187906,79.90441934,2.238810934,1.42255437,-7.15416492,0.371690613,0.429446633,,,,,,,,,,,-4.523078063,75.62028148,30.04774765,-1.445431347,0.913556827,2.245240738,-15.34296614,232.9161401,,,,,,,,,,1,,43.90494998,high,high,,,54.8152994,Luke Shliger,shliglu42,Maryland
11,10/28/22,19:05:57,3,1,Jason Savacool,savacja42,Right,Maryland,Dayne Leonard,leonada50,Right,West Virginia,Stretch,1,Top,1,0,0,Sinker,,BallCalled,,,,0,0,,90.83584989,-1.413599646,-2.433434061,,,,6.151616833,2.660242034,6.490487346,,,,2.783027793,1.579778444,82.64772172,-5.97928386,-0.124064133,0.431313949,,,,,,,,,,,,9.625580111,-14.17235943,-2.443204275,50,5.994598459,6.234799974,-131.5031139,-5.315104172,15.88462428,42.78913263,-55.5620015,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,1593010a-5715-11ed-bf58-c39c2dce2b33,90.91136983,6.134364234,2.643497551,-1.206382887,-2.23060311,82.67576869,2.794479675,1.59241302,-5.7916426,0.083853793,0.43123293,-24.18549739,-28.10083773,34.17667934,39.18556224,8201.121222,5568.597911,82.73092832,0.640836331,0.561746696,0.523229823,,,,,,,,,,,,,,,,,0.992890446,1,,,high,high,54.73298555,-45.31349731,54.82951265,Luke Shliger,shliglu42,Maryland
12,10/28/22,19:06:19,3,2,Jason Savacool,savacja42,Right,Maryland,Dayne Leonard,leonada50,Right,West Virginia,Stretch,1,Top,1,1,0,Sinker,,InPlay,,FlyBall,Out,1,0,,89.38196747,-2.076160335,-4.132979738,2290.740001,228.834468,1:45,5.995798486,2.736623812,6.561132909,-22.75551318,12.62067297,11.4885554,2.344347441,0.170382185,80.75079517,-5.456219997,-0.98544996,0.42808206,82.96868514,33.33515065,24.96893969,,,,,287.2374401,,24.98810367,3.747960162,-7.377896294,7.385545151,-2.399735359,50,5.80899678,8.985067173,-129.6316973,-5.468356302,-12.4942837,28.30956977,-19.66681273,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,22aecdc2-5715-11ed-a575-9de98652035e,89.56100792,5.99484739,2.741138183,-2.065385304,-4.186784806,80.90107844,2.345571473,0.166928306,-5.435780901,-1.041525859,0.427939869,11.98568892,11.26388763,-25.81489053,14.3576462,2062.13704,-997.5372573,90.02056275,-0.592548385,-0.435465071,-0.677684723,29.26094042,62.83920527,45.59423603,-0.188938347,-0.811057734,2.039433113,121.3377336,260.3507276,,,,,,,,,0.541073302,1,,43.05047478,high,high,77.07812439,-19.76020196,54.75886709,Luke Shliger,shliglu42,Maryland
13,10/28/22,19:06:58,4,1,Jason Savacool,savacja42,Right,Maryland,Grant Hussey,hussegr42,Left,West Virginia,Stretch,1,Top,2,0,0,Curveball,,BallCalled,,,,0,0,,80.52972077,2.604139173,0.322032984,2525.390283,33.61350444,7:00,6.465571861,2.022061713,6.205103208,-57.23598854,-11.55591755,-9.679125658,4.559965168,1.195049524,71.8808746,-6.849886382,-1.791151138,0.47909313,,,,,,,,,,,,5.308239579,-6.976497413,-2.044062776,50,6.659723667,-0.347236295,-116.9132053,3.54998734,7.254198709,24.64392012,-41.70807641,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,39895014-5715-11ed-a619-af4bc8e6114c,80.62243673,6.453566777,2.022147681,2.748104725,0.320684673,71.92436479,4.569536777,1.19497644,-6.698420751,-1.792033655,0.479009971,-9.638759432,-14.87820815,-38.63660958,22.51749063,1972.637092,-1576.800237,78.11216764,0.650510934,-0.624378833,0.43241947,,,,,,,,,,,,,,,,,0.784407506,1,,,high,high,110.2657265,-16.20281141,55.11489679,Luke Shliger,shliglu42,Maryland
14,10/28/22,19:07:16,4,2,Jason Savacool,savacja42,Right,Maryland,Grant Hussey,hussegr42,Left,West Virginia,Stretch,1,Top,2,1,0,Sinker,,StrikeSwinging,,,,0,0,,90.65013777,-2.329222249,-3.442123508,,,,6.049826777,2.695686505,6.312142124,,,,1.604298443,0.578732517,82.61501262,-7.032814964,-0.594624851,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,6041c387-9307-4b63-9d2e-5f9d137fba31,4493a770-5715-11ed-9646-dbd54f4d4192,90.79473717,6.045471461,2.695686505,-2.277961598,-3.442123508,82.73150358,1.607964261,0.578732517,-6.974099442,-0.594624851,0.422747752,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,55.00785788,Luke Shliger,shliglu42,Maryland
