PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,Baserunners
1,11/5/22,14:03:01,1,1,Jason Savacool,savacja42,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,0,0,Four-Seam,,InPlay,,FlyBall,HomeRun,0,1,,94.41429555,-2.611992249,-1.564840386,,,,6.429481996,2.13406447,6.577628205,,,,2.518028966,-0.008416867,84.30160776,-5.580064072,-2.104224414,,103.4634875,30.62597169,22.00129523,2566.782324,,,,422.0496312,,27.16715802,5.647913743,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,18cf4107-5d34-11ed-82d7-2ff20793bbd1,94.56447848,6.425454512,2.13406447,-2.564984694,-1.564840386,84.42285219,2.521453022,-0.008416867,-5.524542939,-2.104224414,0.403272873,,,,,,,,,,,33.35364897,82.54780539,52.7075628,0.442967216,3.488646173,3.308280295,192.702813,375.4883714,49.84648115,21.12986289,1.46134417,0.970321423,-0.089517635,-0.224639552,,,,1,0.966814722,58.26277271,high,high,,,54.7423718,Jake Walman,,Maryland,None
2,11/5/22,14:03:49,2,1,Jason Savacool,savacja42,Right,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,92.39760813,-3.06781974,-1.972434989,,,,5.900722008,2.761111827,6.663379215,,,,0.437914634,0.927576222,85.16896706,-8.878982756,-1.972434989,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,336c1df3-5d34-11ed-861f-2134feb9e85a,92.54103989,5.896654881,2.761111827,-3.019302826,-1.972434989,85.29246585,0.442322613,0.927576222,-8.820283463,-1.972434989,0.411665546,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.65662078,Jake Walman,,Maryland,None
3,11/5/22,14:04:05,2,2,Jason Savacool,savacja42,Right,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,0,1,0,Sinker,,BallCalled,,,,0,0,,93.38019811,-3.245163278,-2.303932834,2245.947233,225.9678858,1:30,5.953370189,2.688290314,6.630222819,-19.9469103,12.32042597,10.29314389,1.268129087,1.402720581,85.16289828,-6.974380813,-0.365987443,0.408839718,,,,,,,,,,,,-6.213592923,7.580851476,-2.50570072,50,5.675438421,5.100354152,-135.5613818,-8.377848793,-11.5081083,30.9379252,-18.13366089,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,3cc01c7a-5d34-11ed-b022-81719d71d159,93.56171367,5.952720221,2.692290844,-3.238054265,-2.351647441,85.32657912,1.269269,1.398856254,-6.958457014,-0.41817965,0.408705949,10.73202077,11.1109897,-25.70107442,0.106366142,2023.753174,-974.0133792,90.10688874,-0.626298247,-0.433675985,-0.647823776,,,,,,,,,,,,,,,,,0.538505797,1,,,high,medium,90.09572954,-28.27461114,54.68977718,Jake Walman,,Maryland,None
4,11/5/22,14:04:18,2,3,Jason Savacool,savacja42,Right,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,0,2,0,Sinker,,BallCalled,,,,0,0,,92.54696312,-3.260433844,-3.003719075,,,,5.963577462,2.672526319,6.536972211,,,,0.302122748,-0.127759694,85.30826133,-9.071072622,-3.003719075,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,4515bf07-5d34-11ed-8b64-7b1e9a8b34a6,92.69103566,5.959481638,2.672526319,-3.211773486,-3.003719075,85.43237508,0.306562388,-0.127759694,-9.012167188,-3.003719075,0.412439337,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.78302779,Jake Walman,,Maryland,None
5,11/5/22,14:04:32,2,4,Jason Savacool,savacja42,Right,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,0,3,0,Four-Seam,,BallCalled,Walk,,,0,0,,92.38914714,-4.65149615,-3.415310834,2348.924853,208.1512948,1:00,6.351649397,2.030208274,6.554785498,-17.44620331,15.74583842,6.415050144,0.549491609,-0.618998518,84.3821498,-7.893684064,-2.212228076,0.414656527,,,,,,,,,,,,-4.424993943,9.792156734,-1.749739317,50,5.952601902,7.762237123,-133.7635247,-11.50281213,-7.99166074,29.71489376,-14.48914526,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,4c9d7ad4-5d34-11ed-8c70-89acd6cca69a,92.57385254,6.351819294,2.032966001,-4.654071467,-3.448373883,84.5514976,0.549844686,-0.62166352,-7.88809427,-2.24833227,0.414518719,6.720729079,14.63991974,-29.52167456,99.32300862,2043.962416,-1157.439246,87.01693513,-0.767232523,-0.492752778,-0.410547143,,,,,,,,,,,,,,,,,0.996375646,1,,,high,medium,0.607529598,-78.53931085,54.7652145,Jake Walman,,Maryland,None
6,11/5/22,14:04:59,3,1,Jason Savacool,savacja42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,91.21725793,-2.542974069,-3.690635449,2255.256133,223.6355248,1:30,5.938319449,2.586632662,,-21.96020217,13.89751457,10.54128425,1.30157571,0.483104207,83.53496557,-7.112466972,-0.70867018,0.428100597,,,,,,,,,,,,-6.064389894,7.922622152,-1.844423348,50,5.776870762,5.626572569,-132.9015737,-8.270631585,-10.79734515,29.6867346,-18.06821415,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,5d17ddfa-5d34-11ed-91be-7584f5476b23,91.41421202,5.937595179,2.591276111,-2.535685603,-3.741939257,83.69467772,1.302555541,0.479918997,-7.09646376,-0.759093108,0.427965804,11.02764281,12.53193769,-27.38282217,0.016758168,2002.562161,-1037.268055,88.79533156,-0.64265101,-0.459933592,-0.612748537,,,,,,,,,,,,,,,,,0.994674272,1,,,high,high,89.98491766,-26.70001241,56.17944538,Jake Walman,,Maryland,1st
7,11/5/22,14:05:16,3,2,Jason Savacool,savacja42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,1,0,Slider,,InPlay,,FlyBall,HomeRun,0,2,,85.74954053,-1.085570411,-0.342066195,2311.120855,143.9166182,10:45,6.142153779,2.368224724,6.146290945,-35.33174849,3.342576883,-2.757756906,1.873421875,0.893320492,75.61600203,-7.780349013,-1.624210982,0.447592598,102.1502301,31.15875517,-3.054846065,,,,,372.9551862,,-3.186703146,4.168768971,1.362185566,2.070263525,-2.335378159,50,6.019026967,0.839282262,-124.700218,-3.577426317,2.143819171,25.19515443,-28.91585133,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,6733ff38-5d34-11ed-8e31-17ca6cb07f79,85.88596942,6.13746586,2.371498257,-1.03026278,-0.38163999,75.71807729,1.877708412,0.890705324,-7.71245394,-1.665479015,0.447471043,-2.386861813,1.607848834,-85.98538368,14.26949976,161.8037426,-2305.449881,7.00109396,-0.056580093,-0.997546224,0.041233782,-4.658440446,87.28950905,52.85366644,-0.894699504,0.973517525,1.802232993,-20.73250103,372.3784826,,,,,,,,,0.988442748,1,,60.41590022,high,high,77.15745067,53.7701243,55.17370906,Jake Walman,,Maryland,1st
8,11/5/22,14:05:53,4,1,Jason Savacool,savacja42,Right,Maryland,Bobby Zmarzlak,zmarzbo42,Right,Maryland,Windup,1,Top,0,0,0,Sinker,,StrikeCalled,,,,0,0,,90.58845972,-1.909304446,-3.861827697,2145.935649,229.1385239,1:45,6.008268098,2.74507079,6.720244074,-22.54713064,11.71154235,10.70192808,1.949686389,0.293786376,82.45955736,-6.357367408,-1.530193154,0.420811933,,,,,,,,,,,,-6.927182501,6.887405511,-2.4407113,50,5.841742669,8.522712726,-131.4764724,-5.129662078,-12.07203323,29.01882102,-20.17133591,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,7da62e0a-5d34-11ed-bfba-8bacb03e0644,90.76770125,6.00716321,2.749326067,-1.896820797,-3.912237412,82.60854516,1.950968093,0.29059946,-6.336151962,-1.581624962,0.420673236,11.18946409,10.38248806,-26.7019808,39.11606399,1917.08417,-964.2759419,89.33558523,-0.584462391,-0.449349887,-0.675639247,,,,,,,,,,,,,,,,,0.915314916,1,,,high,high,54.79556737,-33.56108749,54.59975593,Jake Walman,,Maryland,None
9,11/5/22,14:06:15,4,2,Jason Savacool,savacja42,Right,Maryland,Bobby Zmarzlak,zmarzbo42,Right,Maryland,Windup,1,Top,0,0,1,Sinker,,BallCalled,,,,0,0,,93.02295468,-1.713154573,-2.818800568,2153.793278,222.9354679,1:30,5.935212574,2.593288715,6.606005995,-21.75498685,12.6681609,9.031908359,1.547211529,-0.207854866,82.6457398,-7.288483099,-1.834607075,0.410269405,,,,,,,,,,,,-5.69362771,7.031691158,-2.366599211,50,5.781888197,6.342302762,-135.1407029,-4.746920883,-10.48114732,30.70949031,-19.22972047,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,8ac95845-5d34-11ed-8112-2d179fcc893d,93.20660988,5.934525556,2.59689842,-1.705443075,-2.862690753,82.79603934,1.548327146,-0.210697535,-7.270025492,-1.880335496,0.41013367,9.469744928,11.38875246,-31.88943357,0.219073236,1828.719373,-1137.809711,84.90691246,-0.621621652,-0.528281763,-0.578363986,,,,,,,,,,,,,,,,,0.995817766,1,,,high,high,90.19716604,-25.54015076,54.71399401,Jake Walman,,Maryland,None
10,11/5/22,14:06:34,4,3,Jason Savacool,savacja42,Right,Maryland,Bobby Zmarzlak,zmarzbo42,Right,Maryland,Windup,1,Top,0,1,1,Curveball,,StrikeCalled,,,,0,0,,83.05554714,0.307559335,0.564200972,2590.232551,24.54118993,6:45,6.407634639,2.083397968,6.470580029,-53.40793024,-12.21861775,-7.635123889,1.887982815,-0.00113919,72.63510391,-10.01350107,-3.900707692,0.483086554,,,,,,,,,,,,3.563523899,-6.516728716,-2.68654203,50,6.085281965,5.044233762,-115.5203355,-0.498984237,4.741636942,24.59740004,-40.84523084,Maryland,Maryland,shi01,NCAA D1,BIG10,0df86b32-a494-48ae-aad2-3f2e924e90f2,95790b6b-5d34-11ed-bf84-b9660173e7d8,83.1453979,6.396202269,2.084500861,0.444541929,0.550573402,72.66996265,1.897205261,-0.002130875,-9.867525939,-3.916446298,0.483014327,-7.506261012,-15.22088118,-42.77527971,23.32136857,1901.290105,-1759.090847,73.40229369,0.667713443,-0.679124678,0.30487445,,,,,,,,,,,,,,,,,0.996671234,1,,,high,high,110.9892177,13.15585991,54.84941997,Jake Walman,,Maryland,None
