PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/10/23,15:30:48,1,1,Jason Savacool,savacja42,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,91.99720023,-0.898137767,-1.076248762,2009.255158,225.794735,1:30,6.139123176,2.613946382,6.500873841,-23.42707639,11.51732381,9.637629535,2.971190654,1.643728409,81.78074161,-5.570539531,0.877759307,0.415345225,,,,,,,,,,,,-5.427159428,6.29600743,-2.529338857,50,6.049855536,2.183169607,-133.7980342,-2.86206133,-9.781876132,30.40941345,-20.82616758,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,ce2083c7-a981-11ed-a709-d32d1c1422ed,92.18011719,6.138028419,2.617714625,-0.885659798,-1.121766428,81.93077049,2.97261299,1.640772699,-5.547181534,0.829968765,0.415205731,10.09837182,10.09145871,-28.66417639,1.255021124,1763.013394,-963.789429,87.7446245,-0.611782703,-0.479674981,-0.628994306,,,,,,,,,,,,,,,,,0.99563961,1,,,high,high,88.87048182,-27.40923186,54.81912616,James Heffley,hefflja42,Maryland
2,2/10/23,15:31:03,1,2,Jason Savacool,savacja42,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,1,0,Curveball,,BallCalled,,,,0,0,,80.77419891,0.688470634,1.368941034,2463.719963,31.05803741,7:00,6.583582077,2.175825118,6.191937191,-53.5458901,-9.616671048,-8.175141219,2.648098871,1.361954617,72.29135159,-9.127141408,-2.279748005,0.477032825,,,,,,,,,,,,4.763171577,-5.317920082,-2.292706665,50,6.608122498,-2.544192804,-117.3629817,-0.295122775,6.571810424,24.44998365,-39.51125381,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,d6ea976e-a981-11ed-9715-a93e701461ad,80.86809035,6.572689383,2.177446485,0.819136473,1.349003994,72.33879024,2.656846697,1.360727841,-8.989682168,-2.299004299,0.476941377,-7.986294818,-12.57609498,-52.29756548,30.85754638,1506.714188,-1949.289206,61.15606526,0.523890471,-0.791197553,0.315507855,,,,,,,,,,,,,,,,,0.98502496,1,,,high,high,62.22821904,70.71755183,55.12806281,James Heffley,hefflja42,Maryland
3,2/10/23,15:31:17,1,3,Jason Savacool,savacja42,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,2,0,Sinker,,InPlay,,LineDrive,Out,1,0,,93.42093503,-1.930571621,-2.033402926,2083.930699,230.2033529,1:45,6.083433051,2.477638178,6.421512028,-21.54712644,10.88891215,10.55976615,1.703318173,0.316590936,83.26923307,-7.181047382,-0.975664868,0.409907087,95.85444549,23.18472301,13.40591579,1202.697146,,,,340.7635586,,16.18312232,3.776550647,-6.238905407,6.385027093,-2.310484975,50,5.904408694,4.442725501,-135.7345329,-5.346328435,-11.57975499,31.13074715,-20.32308463,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,df90884a-a981-11ed-bb46-219b96101a55,93.60454499,6.082312323,2.481794249,-1.918005183,-2.082463147,83.41838372,1.704715485,0.313404331,-7.158376166,-1.026547064,0.409771908,11.01304136,9.603271678,-26.29559938,10.85852711,1868.2865,-923.1861724,89.65204561,-0.573831132,-0.443002338,-0.688815476,20.42891632,85.7123582,37.73759067,-0.329558675,0.459266907,1.528247191,94.97360457,327.2610843,25.09259703,32.06367567,0.656076534,0.929054911,0.183227861,-0.321379096,,,0.99085942,1,0.99782815,53.81026244,high,high,80.22732486,-24.60478442,54.89848797,James Heffley,hefflja42,Maryland
4,2/10/23,15:31:53,2,1,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,1,0,0,Slider,,StrikeCalled,,,,0,0,,82.53842127,-0.584430108,-2.244463775,2302.772294,84.98301125,8:45,6.2565603,2.708583224,6.414211397,-39.95960518,3.225178087,-4.099871643,2.552725685,-0.238540154,74.18273235,-7.058469181,-3.858959806,0.463201893,,,,,,,,,,,,1.675080054,1.62309034,-2.513519469,50,6.181563137,4.839961769,-119.9936565,-2.448751019,2.437257321,23.66268365,-29.81243779,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,f4cd6766-a981-11ed-a3d1-2b5a89f1e62c,82.66438855,6.25121067,2.711600065,-0.519897869,-2.281772288,74.28039099,2.557420184,-0.240921714,-6.983409596,-3.896579097,0.463083375,-3.686331241,1.172065915,-83.69265782,3.999302256,252.9864065,-2288.833353,10.98616685,0.009607526,-0.993946887,0.109440768,,,,,,,,,,,,,,,,,0.997855441,1,,,high,high,93.5993716,19.18876454,54.9057886,James Heffley,hefflja42,Maryland
5,2/10/23,15:32:07,2,2,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,1,0,1,Curveball,,BallCalled,,,,0,0,,81.73752535,-2.250935854,-2.048886394,2587.780442,18.79426955,6:45,6.595727875,2.167357496,,-53.20987281,-9.76844183,-6.742748309,0.041466635,-0.322933431,75.09448327,-12.013585,-3.308159637,0.474376956,,,,,,,,,,,,2.904414214,-4.436070261,-1.972055452,50,6.347194654,4.46475237,-118.5674679,-6.42318615,4.076404405,25.64581779,-38.4001644,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,fd14244f-a981-11ed-9009-a5244b3e20c4,81.82731797,6.584660377,2.17027218,-2.122517651,-2.083402196,75.14423518,0.052280635,-0.325378673,-11.87429957,-3.340256916,0.474283899,-6.416894538,-12.81502952,-55.23213671,40.55591071,1475.68929,-2125.781912,57.02528954,0.539847859,-0.821469193,0.183718954,,,,,,,,,,,,,,,,,0.964186175,0,,,high,medium,53.49970031,72.10884992,55.32,James Heffley,hefflja42,Maryland
6,2/10/23,15:32:25,2,3,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,1,1,1,Slider,,StrikeCalled,,,,0,0,,83.20682645,-0.166554282,-0.727712427,2411.445858,49.41171259,7:45,6.237233753,2.806796183,6.372957872,-40.69683726,0.072718696,-4.257339332,2.397580674,0.733979874,73.93306941,-8.2157248,-3.065413063,0.459557135,,,,,,,,,,,,2.062658586,0.086151233,-2.741177204,50,6.196245457,1.674220772,-121.0442702,-1.659190331,3.053308045,24.12677219,-32.04652181,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,08086f2e-a982-11ed-aa0e-f110e69a3467,83.32801942,6.231034559,2.810250799,-0.091521107,-0.770448792,74.01790743,2.403000925,0.731347575,-8.129415253,-3.107110693,0.459445405,-3.857127133,-1.958346145,-82.07391219,10.66958699,332.5275712,-2388.408789,13.78955161,0.089717442,-0.990446781,0.104718451,,,,,,,,,,,,,,,,,0.996733184,1,,,high,high,80.39738015,35.39196892,54.94704213,James Heffley,hefflja42,Maryland
7,2/10/23,15:32:42,2,4,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Windup,1,Top,1,1,2,Slider,,InPlay,,GroundBall,Single,0,0,,82.87354063,-1.016414106,-2.78916738,2408.230896,33.99708887,7:15,6.336815241,2.576979155,6.321708064,-41.02208744,0.284274399,-4.044329534,1.937374021,-0.583999004,75.52782169,-8.588770331,-4.541205167,0.467213931,,,,,,,,,,,,1.104404644,0.690330834,-2.962264019,50,6.153433137,7.998239764,-119.1961485,-3.275983705,1.584337141,23.52343541,-31.18372708,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,11d5db8f-a982-11ed-80b7-99ec56f30146,82.9924219,6.330598792,2.580627297,-0.94173178,-2.833968733,75.61542005,1.94254012,-0.586602061,-8.5062061,-4.582537772,0.467113587,-3.624151173,-1.776977363,-81.9092056,9.801449846,338.9395994,-2384.260052,14.07421522,0.116684531,-0.990046285,0.078696084,,,,,,,,,,,,,,,,,0.989774196,1,,,high,high,81.17870413,37.43450063,54.99829194,James Heffley,hefflja42,Maryland
8,2/10/23,15:33:15,3,1,Jason Savacool,savacja42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,1,0,0,Sinker,,BallCalled,,,,0,0,,92.89115562,-0.942337091,-1.557079766,2100.396844,227.4085008,1:30,6.08205833,2.58033642,6.507698575,-21.39713127,11.27369251,10.09178439,2.826209833,1.248377115,82.66296946,-5.81517304,-0.461225597,0.411387948,,,,,,,,,,,,-5.869658067,6.322241954,-2.455780805,50,5.989609215,3.318983612,-135.0714557,-2.970222078,-10.78117126,31.00618713,-20.56158895,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,25e8eb68-a982-11ed-9109-bb241fb5d4a0,93.07685032,6.081068706,2.584375516,-0.931308902,-1.605093559,82.81477995,2.827510365,1.245271883,-5.79386567,-0.511072864,0.411249773,10.53449421,9.97201507,-28.35703996,16.43056389,1848.359607,-997.6139874,88.00049437,-0.595558085,-0.474964524,-0.647857444,,,,,,,,,,,,,,,,,0.997501898,1,,,high,high,75.21250499,-22.27252518,54.81230142,James Heffley,hefflja42,Maryland
9,2/10/23,15:33:32,3,2,Jason Savacool,savacja42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,1,1,0,Sinker,,InPlay,,GroundBall,FieldersChoice,1,0,,92.8975732,-2.036029782,-2.297469063,2000.891647,230.1496392,1:45,6.130340455,2.478095341,6.444630634,-21.97800905,10.80077432,10.43288785,2.127486532,0.24780269,81.7983803,-6.373063459,-1.289699427,0.412067096,,,,,,,,,,,,-6.250433418,6.371275279,-2.289124387,50,5.942916304,5.045748583,-134.9504244,-5.577578495,-11.47133215,30.68103051,-20.48093807,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,2ffea317-a982-11ed-ba8f-fdb2592e97db,93.07953837,6.129095984,2.48214768,-2.021996787,-2.34524744,81.94648854,2.129034733,0.24463266,-6.347878147,-1.340349212,0.411931772,10.87422628,9.500086522,-24.13265748,10.96087772,1826.016293,-818.065941,91.2601287,-0.584780982,-0.408850695,-0.700622803,,,,,,,,,,,,,,,,,0.997387949,1,,,high,high,80.13520971,-11.8904227,54.87536937,James Heffley,hefflja42,Maryland
10,2/10/23,15:34:17,4,1,Jason Savacool,savacja42,Right,Maryland,Ian Petrutz,petruia42,Left,Maryland,Stretch,1,Top,2,0,0,Curveball,,StrikeCalled,,,,0,0,,80.21008486,0.883008855,0.89093978,2329.58186,30.6823572,7:00,6.513506248,2.047993517,6.336555365,-56.12863101,-8.912823526,-8.152469686,2.730362764,0.898911972,70.99553841,-9.086194462,-2.882328327,0.478944772,,,,,,,,,,,,4.495280748,-5.29550419,-2.12028743,50,6.554994571,-1.56849909,-116.5878993,0.136829279,6.12156667,24.09445444,-39.38534155,Maryland,Maryland,shi01,NCAA D1,BIG10,deb6acff-1e74-445b-a641-977b834df5dd,4a8f8268-a982-11ed-bab6-4b610a16d5ba,80.30337602,6.502919538,2.049423762,1.011757115,0.873045147,71.04011002,2.739157305,0.897726392,-8.948037257,-2.900928619,0.478854586,-7.927069838,-12.14032097,-50.40990138,7.825416982,1484.621134,-1795.230271,63.72908204,0.548076121,-0.770623391,0.325195564,,,,,,,,,,,,,,,,,0.997189701,1,,,high,high,97.04287584,16.2687165,54.98344464,James Heffley,hefflja42,Maryland
