PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/11/23,12:10:49,1,1,Nick Dean,dean-ni43,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,0,0,Four-Seam,,Foul,,,,0,0,,91.91982326,-3.254589487,-2.013107427,2109.44646,206.748316,1:00,6.319856718,1.90471136,7.42200927,-17.52198405,15.32386452,6.914867698,2.112342621,0.482420789,83.0034771,-5.811283709,-0.478120188,0.408845994,,,,,,,,,,,,-4.408449336,9.392895794,-1.770603911,50,6.090886571,4.49751124,-133.6405083,-8.097755685,-7.934461765,30.08819834,-15.26842884,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,089ec48a-aa2f-11ed-8698-5f7f7d4d30db,92.0983603,6.319933316,1.906926477,-3.256058545,-2.040334345,83.15730944,2.112697733,0.480693124,-5.804902227,-0.506662323,0.40871175,7.180744709,14.15456848,-0.647804573,73.60060971,2109.311633,-23.8495745,99.99360842,-0.892935096,-0.011306082,-0.450043428,,,,,,,,,,,,,,,,,0.73071095,1,,,high,high,23.75949506,52.35286827,53.89799073,James Heffley,hefflja42,Maryland
2,2/11/23,12:11:07,1,2,Nick Dean,dean-ni43,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,0,1,Four-Seam,,BallCalled,,,,0,0,,91.2730963,-4.291963108,-2.80131889,2231.925474,211.6544044,1:00,6.341186012,2.082658591,7.336952509,-17.57356502,15.36569089,8.539754641,1.319156173,0.702584106,83.09212316,-6.500025614,-0.432262421,0.413074527,,,,,,,,,,,,-5.52950475,9.734709421,-1.891509824,50,6.034193306,6.230961081,-132.4505785,-10.46670023,-9.780822193,29.41788007,-14.95488327,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,13285826-aa2f-11ed-98f6-515b1d52791d,91.4497607,6.341160184,2.085442971,-4.292142121,-2.834973114,83.24427364,1.319545393,0.700450043,-6.493163508,-0.467073468,0.41294129,8.845657767,14.22512836,1.219868095,95.23588262,2231.419633,47.51569898,99.97733613,-0.851036085,0.021289106,-0.524675476,,,,,,,,,,,,,,,,,0.995636415,1,,,high,high,4.287067097,-51.96988726,53.98304749,James Heffley,hefflja42,Maryland
3,2/11/23,12:11:22,1,3,Nick Dean,dean-ni43,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,1,1,Four-Seam,,BallCalled,,,,0,0,,94.75810368,-4.426111256,-0.876784486,2236.195583,210.8746154,1:00,6.303280715,2.08932727,7.30862696,-15.56181813,14.9979238,8.106376633,0.934932056,1.959950844,86.51251151,-7.362406013,0.669319368,0.397874736,,,,,,,,,,,,-4.728909932,9.571574679,-2.031538596,50,5.985833695,1.858189336,-137.6193186,-11.12952385,-9.023763984,31.96365539,-13.90945328,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,1c253a14-aa2f-11ed-b484-5b7ccaa6b1a5,94.93734456,6.303501655,2.091909254,-4.429321957,-0.908514916,86.67899139,0.935167728,1.957339493,-7.358686505,0.633779707,0.39774688,8.39366514,13.94737229,2.047919032,98.89427772,2234.767301,79.91116502,99.93612895,-0.857744143,0.03573532,-0.512833279,,,,,,,,,,,,,,,,,0.984904597,1,,,high,medium,0.9920065,61.42877168,54.01137304,James Heffley,hefflja42,Maryland
4,2/11/23,12:11:39,1,4,Nick Dean,dean-ni43,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,2,1,Changeup,,StrikeSwinging,,,,0,0,,84.68610422,-3.320764697,-1.676046361,1814.386737,227.4225555,1:30,6.370971736,1.814185396,7.466422794,-27.76961231,11.32364469,10.71077076,1.552985444,0.701844588,76.23496957,-7.175865162,-0.003150813,0.443332338,,,,,,,,,,,,-6.43056734,7.182995749,-1.705843065,50,6.136245917,3.320202283,-123.147462,-7.855913842,-9.827319672,25.5595607,-21.196854,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,26a93226-aa2f-11ed-9863-210a160e9452,84.83809398,6.368788278,1.816972459,-3.294053355,-1.711060808,76.3625076,1.555208824,0.699618362,-7.138945254,-0.040092534,0.443196126,11.05296374,9.661072634,17.68868366,75.11422702,1728.605273,551.2921566,95.27215106,-0.644598169,0.3038449,-0.70154934,,,,,,,,,,,,,,,,,0.994160967,1,,,high,high,22.39722795,-87.58198147,53.85357721,James Heffley,hefflja42,Maryland
5,2/11/23,12:11:59,1,5,Nick Dean,dean-ni43,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,2,2,Four-Seam,,BallCalled,,,,0,0,,94.0107157,-3.303509611,-1.282047542,2277.531604,211.6720069,1:00,6.347144674,2.020270845,7.054415391,-17.08164503,15.42490272,8.602241775,2.390960133,1.638527332,83.82535455,-5.06609991,1.376042764,0.402724289,,,,,,,,,,,,-5.0634346,9.289154244,-1.929068955,50,6.092862182,2.783845905,-136.6316282,-8.40327799,-9.516125038,31.73532044,-14.71618546,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,322b930a-aa2f-11ed-80ae-0780e3d2299f,94.19357607,6.347346053,2.022986632,-3.306506038,-1.315111022,83.98338566,2.391236854,1.636366608,-5.061152077,1.340973329,0.40259208,8.928439715,14.21432974,5.471541606,87.29682631,2267.154445,217.1656803,99.54436814,-0.847190003,0.095351336,-0.522663584,,,,,,,,,,,,,,,,,0.994008253,1,,,high,high,11.43297034,74.06857592,54.26558461,James Heffley,hefflja42,Maryland
6,2/11/23,12:12:15,1,6,Nick Dean,dean-ni43,Right,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,3,2,Four-Seam,,BallCalled,Walk,,,0,0,,93.79196801,-4.128337804,-1.610677812,2235.152237,210.4269711,1:00,6.377466837,1.906979784,7.223721019,-16.65621645,15.28904112,8.142205982,1.56068384,0.908910718,84.5052019,-6.144899354,0.060980801,0.402584563,,,,,,,,,,,,-4.943760575,9.569195603,-1.7955522,50,6.074259793,3.579531793,-136.2129173,-10.33122483,-9.2429542,31.28237907,-14.28328903,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,3bd73c0f-aa2f-11ed-a391-d3b7db40cc2d,93.97100077,6.377635787,1.909527162,-4.130941204,-1.641983517,84.65988123,1.56094576,0.90691746,-6.140115996,0.028177716,0.402454507,8.449638893,14.15502244,3.660351688,87.22935563,2230.592605,142.6960129,99.79600352,-0.860516354,0.063841742,-0.505406604,,,,,,,,,,,,,,,,,0.995942548,1,,,high,high,11.4938434,76.14354739,54.09627898,James Heffley,hefflja42,Maryland
7,2/11/23,12:12:57,2,1,Nick Dean,dean-ni43,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Stretch,1,Top,0,0,0,Four-Seam,,StrikeSwinging,,,,0,0,,92.46526857,-2.538669032,-2.679501582,2226.249643,210.4758591,1:00,6.357996504,1.973738,7.370289286,-17.49489205,15.35486363,8.125016746,3.225361972,0.191454912,82.81046368,-4.161589787,-0.831846949,0.406926018,,,,,,,,,,,,-5.265193914,9.168975503,-1.792383603,50,6.175463072,6.053098665,-134.4368736,-6.46040304,-9.582386637,30.65538611,-15.48697789,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,55008502-aa2f-11ed-bf08-2bde469ff528,92.64389298,6.358154016,1.976243201,-2.541161514,-2.711104296,82.96926559,3.225655417,0.189370423,-4.156185661,-0.865997838,0.406793637,8.437848131,14.14900153,0.207616982,91.32062708,2226.235028,8.067020438,99.99934348,-0.861837271,0.003623592,-0.507171952,,,,,,,,,,,,,,,,,0.995749477,1,,,high,high,7.811755598,-87.79277678,53.94971071,James Heffley,hefflja42,Maryland
8,2/11/23,12:13:40,2,2,Nick Dean,dean-ni43,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Stretch,1,Top,0,0,1,Four-Seam,,StrikeSwinging,,,,0,0,,94.54341529,-2.654497413,-1.634415127,2194.842649,209.6737097,1:00,6.334903432,1.806621292,7.271113117,-15.71245587,14.94986856,7.690311531,2.505788715,-0.191426071,83.56504055,-5.164945224,-1.385823023,0.398541967,,,,,,,,,,,,-4.718903736,9.020293575,-1.694565517,50,6.1400114,3.687077001,-137.5166599,-6.862037066,-8.985396968,32.100148,-14.99825557,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,6eb1f487-aa2f-11ed-bc0b-efa98d4f9a7c,94.72851264,6.335171115,1.809157693,-2.658275784,-1.665105231,83.72241444,2.506083884,-0.193412398,-5.159520778,-1.41832727,0.398410216,7.968708019,13.87561074,0.297787844,96.89339015,2194.813004,11.40737642,99.99864937,-0.86884703,0.005197355,-0.495053356,,,,,,,,,,,,,,,,,0.996591625,1,,,high,high,2.794826117,-78.28449142,54.04888688,James Heffley,hefflja42,Maryland
9,2/11/23,12:14:04,2,3,Nick Dean,dean-ni43,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Stretch,1,Top,0,0,2,Four-Seam,,BallCalled,,,,0,0,,92.64781852,-3.653085159,-3.69525417,2199.021856,210.6933274,1:00,6.352650695,1.841494694,7.265963172,-16.86218796,15.20057669,8.124602442,2.096579752,-1.108304555,82.71385732,-5.548500261,-2.351628686,0.407541656,,,,,,,,,,,,-5.547652917,9.434836627,-1.583352228,50,6.085637725,8.436031696,-134.4157194,-9.10825209,-10.10745829,30.26537428,-14.98439856,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,7d121128-aa2f-11ed-8417-efe7d93c0799,92.82874329,6.352736172,1.844188916,-3.654625789,-3.727492777,82.86814671,2.09695815,-1.110351133,-5.541623358,-2.385302743,0.407408277,8.417917564,14.10457838,-0.76954027,90.68038796,2198.823516,-29.5342,99.99098053,-0.859834164,-0.013430608,-0.510396738,,,,,,,,,,,,,,,,,0.992132251,1,,,high,high,8.387275123,59.2697673,54.05403683,James Heffley,hefflja42,Maryland
10,2/11/23,12:14:25,2,4,Nick Dean,dean-ni43,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,Stretch,1,Top,0,1,2,Four-Seam,,Foul,,,,0,0,,92.89441671,-3.529748703,-2.87364688,2330.127657,208.0533749,1:00,6.354307905,2.020338397,7.163791365,-15.82843219,16.15751529,7.815466172,2.30538145,0.005903837,83.3286742,-5.164654861,-1.298039766,0.407053162,,,,,,,,,,,,-5.130830172,9.903213433,-1.815417155,50,6.090107339,6.528740367,-134.8724755,-8.818845632,-9.403249569,30.71561524,-14.0244745,Maryland,Maryland,shi01,NCAA D1,BIG10,669cc896-234a-472b-81fa-da34db05e161,8943af6b-aa2f-11ed-b720-53f399a57358,93.0777204,6.354747964,2.022911343,-3.535635909,-2.904799791,83.48851382,2.305460553,0.003878159,-5.162733101,-1.33095273,0.406918845,8.099279232,15.07444087,0.106864537,94.60244136,2330.123604,4.346007206,99.99982606,-0.882508331,0.001865137,-0.470293066,,,,,,,,,,,,,,,,,0.998012806,1,,,high,high,4.857100126,34.82458558,54.15620864,James Heffley,hefflja42,Maryland
