PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/18/23,14:02:28,1,1,Nolan Hudi,hudi-no42,Left,South Florida,Luke Shliger,shliglu42,Left,Maryland,,1,Top,0,0,0,Four-Seam,,InPlay,,GroundBall,Out,1,0,,86.80104767,-1.281806933,5.890581095,1702.69044,127.5029354,10:15,5.348704459,-2.608172774,5.564355069,-26.09999487,9.018846273,-8.700712057,1.749636143,-0.14070631,81.20456465,-6.5598832,0.873689523,0.438164683,,,,,,,,,,,,6.574824218,5.65003156,2.159401953,50,5.235417218,-12.69649449,-125.6988293,-3.654639941,10.4968449,25.98657366,-23.15365558,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,ca360717-afbe-11ed-82ea-cf2b5454a9c2,86.97009297,5.346508615,-2.611918488,-1.256039548,5.935506296,81.34527789,1.751811788,-0.137790832,-6.526167819,0.918484708,0.438025353,-9.124444566,7.578481065,34.67055685,46.01071773,1400.354716,968.5873236,82.24364707,-0.500701029,0.568856969,0.65245707,,,,,,,,,,,,,,,,,0.546721626,1,,,high,high,48.59035404,-37.09052677,54.39564493,Ben Rozenblum,rozenbe42,South Florida
2,2/18/23,14:02:58,2,1,Nolan Hudi,hudi-no42,Left,South Florida,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,0,0,Four-Seam,,BallCalled,,,,0,0,,87.63043471,-2.088335173,6.410082983,1945.458236,116.5645653,10:00,5.32001141,-2.725506724,5.581808855,-26.87966922,8.225280628,-12.15430137,0.810912369,-0.300640703,81.36090396,-7.885806442,0.269229409,0.434589879,,,,,,,,,,,,8.657892953,5.37586518,2.24018518,50,5.144882052,-13.85612196,-126.7220803,-5.490964568,14.039969,26.55747364,-23.45634184,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,dc2f5d17-afbe-11ed-a3a4-999000369d5c,87.79382284,5.317651024,-2.730137761,-2.060245157,6.465997965,81.49478602,0.813291842,-0.296914159,-7.849598292,0.325962289,0.434459113,-12.6846014,6.719867615,22.91022894,27.32194637,1791.992553,757.3443342,92.11159197,-0.411928576,0.389288405,0.823874618,,,,,,,,,,,,,,,,,0.681611045,1,,,high,high,114.5897517,-13.63092541,54.37819114,Ben Rozenblum,rozenbe42,South Florida
3,2/18/23,14:03:10,2,2,Nolan Hudi,hudi-no42,Left,South Florida,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,1,0,Changeup,,StrikeCalled,,,,0,0,,79.28044821,1.0065474,8.440065877,1258.072933,81.4272767,8:45,4.959298217,-2.952211448,5.534000852,-45.29504549,-0.33708108,-10.27602307,2.074525007,-0.634682064,72.0967009,-7.450696376,0.858286615,0.482586137,,,,,,,,,,,,7.9875473,-0.4711421,2.300959681,50,5.013731298,-16.65751132,-114.1755037,0.775906648,10.52507408,21.37099021,-32.79486663,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,e37e3e3d-afbe-11ed-a2ab-27d75eb6366c,79.40384928,4.952325791,-2.954039274,1.090696278,8.461978992,72.18495617,2.080472759,-0.633150854,-7.360399419,0.881846425,0.482466375,-10.47951657,-2.537840048,-35.96952923,20.12804526,1018.195499,-738.9353345,80.93294698,0.120642383,-0.587354926,0.800287202,,,,,,,,,,,,,,,,,0.989734942,1,,,high,high,71.88475927,60.21299913,54.42599915,Ben Rozenblum,rozenbe42,South Florida
4,2/18/23,14:03:26,2,3,Nolan Hudi,hudi-no42,Left,South Florida,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,1,1,Changeup,,InPlay,,LineDrive,Out,1,0,,80.24399908,0.958760985,10.09830797,,,,4.972922684,-2.956863283,5.672457528,,,,1.993778832,0.372013817,71.40149584,-7.578847025,2.549392588,,108.574552,15.5595709,-14.86081762,934.8695869,,,,290.5174953,,-18.98993217,2.491788563,,,,,,,,,,,,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,ed158d07-afbe-11ed-be51-6dc0809d7595,80.37746188,4.967560412,-2.956863283,1.023317387,10.09830797,71.49479947,1.998811383,0.372013817,-7.501818895,2.549392588,0.486514763,,,,,,,,,,,-26.82580835,101.0969781,29.12405152,-0.252969429,1.061173563,1.898034092,-94.53497572,274.706304,-20.32515407,-5.618071943,0.031004789,0.139690381,-0.13927549,0.980351435,,,,1,0.983177874,66.6465418,high,high,,,54.28754247,Ben Rozenblum,rozenbe42,South Florida
5,2/18/23,14:03:55,3,1,Nolan Hudi,hudi-no42,Left,South Florida,Nick Lorusso,lorusni42,Right,Maryland,,1,Top,2,0,0,Four-Seam,,BallCalled,,,,0,0,,89.19290761,-0.384760361,7.423056849,,,,5.279559087,-2.863093969,5.449461546,,,,1.747224933,-0.82799695,81.05966281,-7.29846238,0.678858794,,,,,,,,,,,,,,,,,,,,,,,,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,fe204a3d-afbe-11ed-8574-93005593c7d6,89.33907303,5.27513099,-2.863093969,-0.332312772,7.423056849,81.17119979,1.751165573,-0.82799695,-7.238259548,0.678858794,0.429603676,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.51053845,Ben Rozenblum,rozenbe42,South Florida
6,2/18/23,14:04:07,3,2,Nolan Hudi,hudi-no42,Left,South Florida,Nick Lorusso,lorusni42,Right,Maryland,,1,Top,2,1,0,Four-Seam,,StrikeCalled,,,,0,0,,86.40155304,-1.064359454,5.764363243,2001.891226,223.0060005,1:30,5.243490114,-2.75372999,5.463227748,-25.39733025,12.41113162,9.445177165,1.754890063,-0.900871026,79.69619065,-6.477003926,0.847555078,0.442553752,,,,,,,,,,,,-3.346469304,7.066791569,2.294635861,50,5.145661935,-12.91334289,-125.0693845,-3.109433493,-5.245950454,27.65442901,-21.09609396,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,0565a29c-afbf-11ed-a771-01cd23c819ba,86.57160502,5.241608556,-2.751665283,-1.042356533,5.739597341,79.83300843,1.757082655,-0.902506904,-6.442948659,0.822159357,0.442401861,9.672660769,10.68350375,38.12021554,22.07325141,1574.922384,1235.794467,78.67172619,-0.575312388,0.617313494,-0.536600137,,,,,,,,,,,,,,,,,0.753220124,1,,,high,high,70.13407373,2.182089633,54.49677225,Ben Rozenblum,rozenbe42,South Florida
7,2/18/23,14:04:20,3,3,Nolan Hudi,hudi-no42,Left,South Florida,Nick Lorusso,lorusni42,Right,Maryland,,1,Top,2,1,1,Changeup,,BallCalled,,,,0,0,,77.78799001,0.022881847,7.981355488,1374.251296,79.38193522,8:45,4.942920011,-2.881387664,5.676508784,-47.08042277,-0.71997848,-11.39892732,0.869955558,0.26843757,71.20845022,-8.942195348,1.667574257,0.490055556,,,,,,,,,,,,8.522596423,-0.399751517,2.286528993,50,4.921000033,-15.42925809,-112.1913056,-1.19785577,10.83180823,20.83301825,-32.68211445,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,0d203f6b-afbf-11ed-8081-c76c421eee72,77.90297486,4.935426457,-2.883584325,0.113044841,8.007624918,71.28705144,0.87623308,0.270241969,-8.84707193,1.695448482,0.489939417,-11.64220931,-3.054040348,-33.73468661,20.120274,1142.852205,-763.187697,83.16180664,0.153234985,-0.555347992,0.817378522,,,,,,,,,,,,,,,,,0.996976827,1,,,high,high,71.8917534,56.30466825,54.28349122,Ben Rozenblum,rozenbe42,South Florida
8,2/18/23,14:04:34,3,4,Nolan Hudi,hudi-no42,Left,South Florida,Nick Lorusso,lorusni42,Right,Maryland,,1,Top,2,2,1,Changeup,,BallCalled,,,,0,0,,77.66962073,1.012369022,6.560901222,,,,4.885642982,-2.95617575,5.723202786,,,,1.772707364,-1.833159411,70.92346591,-7.960415033,-0.398498855,,,,,,,,,,,,,,,,,,,,,,,,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,15851eca-afbf-11ed-9136-4bad92897780,77.79749145,4.879918132,-2.95617575,1.080698073,6.560901222,71.01458145,1.777793877,-1.833159411,-7.882507743,-0.398498855,0.489331779,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.23679721,Ben Rozenblum,rozenbe42,South Florida
9,2/18/23,14:04:50,3,5,Nolan Hudi,hudi-no42,Left,South Florida,Nick Lorusso,lorusni42,Right,Maryland,,1,Top,2,3,1,Four-Seam,,Foul,,,,0,0,,87.60669535,-0.791956345,7.308001671,,,,5.324849438,-2.735092698,5.500562377,,,,1.968049066,0.425397437,80.26125213,-6.546317103,2.604841905,,,,,,,,,,,,,,,,,,,,,,,,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,1ec90623-afbf-11ed-82f0-b56189d3d2e7,87.74884641,5.320237189,-2.735092698,-0.737547644,7.308001671,80.37359588,1.972047822,0.425397437,-6.484819842,2.604841905,0.433203037,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.45943762,Ben Rozenblum,rozenbe42,South Florida
10,2/18/23,14:05:08,3,6,Nolan Hudi,hudi-no42,Left,South Florida,Nick Lorusso,lorusni42,Right,Maryland,,1,Top,2,3,2,Changeup,,Foul,,,,0,0,,79.89291031,0.731343225,7.101432516,1510.561024,90.63760851,9:00,4.93731314,-2.979113694,5.594404255,-42.70760442,1.194415392,-11.45010565,1.766835501,-0.486184735,72.52408033,-7.679948205,1.608328209,0.478384743,,,,,,,,,,,,7.304290182,0.884406445,2.73796303,50,5.021838637,-7.262491837,-115.1539285,-0.559900195,9.767857501,22.19850465,-30.9913534,South Florida,Maryland,mce01,NCAA D1,AAC,9bed3a40-bb42-4d9a-9dd1-f6f0a560bc6c,29b94f7d-afbf-11ed-ab36-319a3547a703,80.01951434,4.930744277,-2.981097724,0.810400289,7.125209271,72.61556735,1.772528629,-0.484466191,-7.59342522,1.634805141,0.478269259,-11.66905282,-0.955496872,-39.87144245,24.50172789,1159.332574,-968.3711018,76.74847659,-0.008540677,-0.641067184,0.767437244,,,,,,,,,,,,,,,,,0.973514495,1,,,high,high,67.9484449,65.99851634,54.36559574,Ben Rozenblum,rozenbe42,South Florida
