PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/21/23,15:59:39,1,1,Ryan Van Buren,vanbury42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,91.19966387,-3.564897373,-1.474883463,1886.807502,228.8471321,1:45,5.621078264,2.592576048,7.476623497,-22.13445459,10.57971087,10.67849117,0.509294321,2.132606245,83.43931422,-7.757158398,0.567701974,0.411660735,,,,,,,,,,,,-6.358460971,6.91562052,-2.498002804,50,5.372472592,3.110661352,-132.5999245,-8.892599342,-11.2655239,29.64728125,-19.92138521,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,a86f9b4c-b22a-11ed-99bf-ad3025b78e87,91.36320545,5.619420081,2.595663481,-3.545284059,-1.512560244,83.58505963,0.511348287,2.129580706,-7.728757329,0.525891857,0.411535494,11.01911632,9.25340513,14.70955948,15.30040486,1824.968142,479.09689,96.72254007,-0.636502302,0.253919326,-0.728278652,,,,,,,,,,,,,,,,,0.996389688,1,,,high,medium,76.22963915,0.783251724,53.8433765,Luke Shliger,shliglu42,Maryland
2,2/21/23,15:59:56,1,2,Ryan Van Buren,vanbury42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,1,0,Sinker,,BallCalled,,,,0,0,,91.79481988,-2.759810483,-2.414780122,1911.694634,231.7419915,1:45,5.535972128,2.630389534,7.643518069,-21.85833722,10.20594924,11.14940505,1.090924967,0.092602944,81.38590234,-6.45632301,-1.409595698,0.419782339,,,,,,,,,,,,-7.405990759,6.423835553,-2.196217806,50,4.713850252,7.82857499,-129.6146991,-5.085497238,-12.54350704,28.20303321,-21.29401623,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,b23cae00-b22a-11ed-bde5-698377707fd2,91.95870814,5.534451301,2.633757093,-2.74141513,-2.456774128,81.5213269,1.092638546,0.089896805,-6.42776783,-1.454198346,0.419666052,11.52835785,8.916587418,4.895388893,16.45077406,1904.721092,163.1377856,99.63521672,-0.616944959,0.085336739,-0.782366,,,,,,,,,,,,,,,,,0.993456228,1,,,high,high,75.19431224,7.373819292,53.67648193,Luke Shliger,shliglu42,Maryland
3,2/21/23,16:00:10,1,3,Ryan Van Buren,vanbury42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,2,0,Four-Seam,,BallCalled,,,,0,0,,88.51556812,-2.827021371,-3.956687683,,,,5.557510088,2.8829157,7.723256052,,,,1.326131448,0.496758209,81.36673687,-6.308645106,-1.59551239,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,bb099e4f-b22a-11ed-ae92-9d070d169fa1,88.64798582,5.553263689,2.8829157,-2.775854636,-3.956687683,81.47671556,1.329621908,0.496758209,-6.251332516,-1.59551239,0.421494882,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.59674395,Luke Shliger,shliglu42,Maryland
4,2/21/23,16:00:26,1,4,Ryan Van Buren,vanbury42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,3,0,Sinker,,StrikeCalled,,,,0,0,,90.67277989,-1.535078432,-1.359309691,1849.703625,233.6680887,1:45,5.623148156,2.712288144,7.532587796,-24.58609766,9.826744373,11.37994985,2.105997025,1.150823844,80.94830621,-5.969372834,-0.223730595,0.413116633,,,,,,,,,,,,-6.632183028,5.821341717,-2.626886611,50,5.512324301,2.820796104,-132.0529497,-4.190284774,-11.64116371,29.68531583,-21.95611808,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,c4368f70-b22a-11ed-b6a7-05fc7e73708b,90.83665216,5.621290515,2.715566746,-1.512634846,-1.399985335,81.08320865,2.107962484,1.148201046,-5.936843925,-0.266860114,0.412990006,11.77603527,8.362775096,10.87309729,36.56626986,1816.496621,348.9176485,98.20473922,-0.581825718,0.188634354,-0.791135838,,,,,,,,,,,,,,,,,0.993347054,1,,,high,high,57.09040959,16.30846546,53.7874122,Luke Shliger,shliglu42,Maryland
5,2/21/23,16:00:39,1,5,Ryan Van Buren,vanbury42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,3,1,Sinker,,StrikeCalled,,,,0,0,,90.79671059,-2.1187121,-2.30783359,,,,5.691127878,2.655516583,7.416969652,,,,1.976122833,0.578585908,81.72716868,-5.915641825,-0.841200073,0.414341645,,,,,,,,,,,,-9.582350189,4.623525853,-2.504966812,50,5.535686063,4.864605617,-132.074579,-5.632378621,-16.78031484,30.38764144,-24.07747432,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,cc73f985-b22a-11ed-b642-191086fc768f,90.9463831,5.687713437,2.659854159,-2.077388535,-2.360817738,81.8476871,1.979196709,0.575230151,-5.865373808,-0.896179415,0.414225462,16.49019595,5.303066573,35.13511233,52.23764511,2291.525698,1612.610113,81.77971826,-0.28973338,0.575506532,-0.764752771,,,,,,,,,,,,,,,,,0.950860319,1,,,high,high,42.98608417,27.4555781,53.90303035,Luke Shliger,shliglu42,Maryland
6,2/21/23,16:00:56,1,6,Ryan Van Buren,vanbury42,Right,Maryland,Braden Barry,barrybr48,Right,West Virginia,Windup,1,Top,0,3,2,Sinker,,BallCalled,Walk,,,0,0,,91.03394543,-2.955164686,-3.365488861,1815.812876,234.3812735,1:45,5.655312863,2.460050868,7.485453872,-23.45780292,9.390749964,11.27254956,1.204082471,-0.532667809,82.61871624,-6.355351423,-2.077968666,0.412505405,,,,,,,,,,,,-7.233762972,6.071355601,-2.239165213,50,5.44742503,7.458849568,-132.2630818,-7.503627417,-12.76233821,29.26982306,-21.4625162,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,d62b99ab-b22a-11ed-8687-e3b7930d62f1,91.19505607,5.65334089,2.463356851,-2.931341369,-3.406184255,82.75415341,1.206002977,-0.535262988,-6.323709786,-2.120337161,0.412382778,11.64128161,8.050628464,9.678868736,16.47591628,1789.965765,305.2850509,98.57655424,-0.574098705,0.168125832,-0.801339117,,,,,,,,,,,,,,,,,0.997984837,1,,,high,high,75.17168403,4.304094764,53.83454613,Luke Shliger,shliglu42,Maryland
7,2/21/23,16:01:40,2,1,Ryan Van Buren,vanbury42,Right,Maryland,Jj Wetherholt,wethejj42,Left,West Virginia,Stretch,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,91.4920912,-3.104895525,-1.672491465,,,,5.655962229,2.49278426,7.399917048,,,,0.222489535,0.959748743,84.45364133,-8.940538199,-1.672491465,,,,,,,,,,,,,,,,,,,,,,,,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,f00cccae-b22a-11ed-b0c3-a5b7386a8794,91.63000999,5.6519611,2.49278426,-3.056720962,-1.672491465,84.57233546,0.226830935,0.959748743,-8.882411824,-1.672491465,0.409686403,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.92008295,Luke Shliger,shliglu42,Maryland
8,2/21/23,16:02:30,2,2,Ryan Van Buren,vanbury42,Right,Maryland,Jj Wetherholt,wethejj42,Left,West Virginia,Stretch,1,Top,0,1,0,Sinker,,StrikeCalled,,,,0,0,,92.39575439,-1.510768485,-1.906535465,1873.744224,229.4420377,1:45,5.901205783,2.711610861,,,,,1.769114274,0.418472422,82.36990148,-6.052673701,-1.471844837,0.474018525,,,,,,,,,,,,-6.467028634,6.523903783,-2.348549749,50,5.490158799,3.464289552,-132.645775,-5.451906738,-11.4450938,30.14393397,-20.62830038,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,0e7ff29e-b22b-11ed-92cb-a79c515fb578,92.64440191,5.898610351,2.718319462,-1.488451051,-1.966880515,82.55982993,1.771438323,0.414350604,-6.018783478,-1.530869113,0.473800169,14.86858357,12.61298559,-1.81701893,36.32263064,1872.80208,-59.41202187,99.94971861,-0.64989003,-0.031707648,-0.759366561,,,,,,,,,,,,,,,,,0.996783836,1,,,high,high,57.30965276,-14.32551213,62.20826584,Luke Shliger,shliglu42,Maryland
9,2/21/23,16:03:02,2,3,Ryan Van Buren,vanbury42,Right,Maryland,Jj Wetherholt,wethejj42,Left,West Virginia,Stretch,1,Top,0,1,1,Changeup,,StrikeSwinging,,,,0,0,,85.16341307,0.960576618,-1.454775139,1919.031355,254.0638452,2:30,5.564586703,2.866716533,,-45.62757932,8.232130447,19.27720697,2.804752006,1.388536203,74.31601604,-6.315023955,-0.024450402,0.513455791,,,,,,,,,,,,-8.379262541,3.137567419,-2.617112664,50,5.638130542,1.943994152,-122.2864319,-0.586991133,-12.56789553,26.2503189,-27.46807226,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,21d429d1-b22b-11ed-9c51-93c74b141f2a,85.37828313,5.55684959,2.874746674,1.029424034,-1.527474606,74.4619516,2.810498538,1.38359794,-6.231747059,-0.096119835,0.513238608,20.04356642,5.169974403,16.28796541,35.27184404,1842.009539,538.2213297,95.98642222,-0.263546121,0.280465105,-0.922974955,,,,,,,,,,,,,,,,,0.723517495,1,,,high,high,58.25531988,0.697930302,62.0606027,Luke Shliger,shliglu42,Maryland
10,2/21/23,16:03:43,2,4,Ryan Van Buren,vanbury42,Right,Maryland,Jj Wetherholt,wethejj42,Left,West Virginia,Stretch,1,Top,0,1,2,Four-Seam,,BallCalled,,,,0,0,,89.63628725,-2.485683152,-3.789938835,1941.138662,229.10208,1:45,5.741288647,2.773027604,,-24.54372897,12.14068439,11.98814238,1.575072281,0.393617362,81.10206524,-6.220129332,-1.217272609,0.437629949,,,,,,,,,,,,-7.192767625,6.769615421,-2.313253184,50,5.03394163,7.268327909,-129.305598,-4.73463751,-12.11638578,28.23308719,-20.77047362,Maryland,West Virginia,shi01,NCAA D1,BIG10,5fd0a465-c4f7-42e6-bb6d-7a97f556d43d,3ac00914-b22b-11ed-9f3b-7f41f12e4022,89.82305918,5.739391942,2.77750215,-2.46583048,-3.838305709,81.25118019,1.576788012,0.390615786,-6.192240377,-1.265393954,0.437496619,12.44379751,10.63656582,1.61734584,12.42235801,1940.365344,54.78720554,99.96016162,-0.654452546,0.028224262,-0.755576109,,,,,,,,,,,,,,,,,0.996856931,1,,,high,high,78.81988097,0.016444758,55.85809038,Luke Shliger,shliglu42,Maryland
