PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,2/28/23,15:59:13,1,1,Kyle McCoy,mccoyky43,Left,Maryland,Bryce Greenly,greenbr71,Right,Delaware,Windup,1,Top,0,0,0,Sinker,,StrikeCalled,,,,0,0,,93.33152477,-1.043312007,5.082111234,1743.585821,123.8268933,10:15,5.748125758,-2.766192006,6.907239046,-24.74943568,9.195081646,-11.07442217,2.664801004,-0.444068738,82.36823817,-5.34361518,0.690058515,0.407287101,,,,,,,,,,,,7.395635937,5.208920857,2.379535755,50,5.655254862,-11.67973651,-135.3355155,-3.22491827,13.66970468,30.47372186,-22.54615411,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,c1aaab3d-b7aa-11ed-94d8-b74604a1c2d5,93.50566532,5.746377786,-2.769803908,-1.02247759,5.126153846,82.5110812,2.666753317,-0.441123103,-5.311720965,0.73767757,0.407161849,-11.51824755,7.759358481,10.24658024,20.01702466,1715.777922,310.1574379,98.40513164,-0.547807196,0.177884813,0.817474323,,,,,,,,,,,,,,,,,0.979194112,1,,,high,high,108.0153258,-18.57720913,54.41276095,Luke Shliger,shliglu42,Maryland
2,2/28/23,15:59:24,1,2,Kyle McCoy,mccoyky43,Left,Maryland,Bryce Greenly,greenbr71,Right,Delaware,Windup,1,Top,0,0,1,Sinker,,BallCalled,,,,0,0,,92.03349748,-1.934220872,4.361449324,1832.848581,114.8075936,9:45,5.65840945,-2.907920483,6.659466869,-26.51019461,7.711764034,-12.76566029,1.689788294,-0.525267219,82.57741027,-6.472016147,1.045305762,0.414925023,,,,,,,,,,,,8.103119482,4.670378051,2.55989424,50,5.485562327,-9.752999564,-133.4766076,-5.383168653,14.55731856,29.85239632,-23.7836783,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,c877e054-b7aa-11ed-ba77-5395929a0bc8,92.19881127,5.656086957,-2.912033389,-1.905915999,4.412302333,82.71201261,1.69208071,-0.521994603,-6.434375502,1.098797294,0.414801921,-13.28271329,6.201349462,8.132412447,12.87499292,1814.417072,259.2770896,98.99437907,-0.415353081,0.141461271,0.898593638,,,,,,,,,,,,,,,,,0.996853242,1,,,high,high,101.5874918,-20.28324295,54.66053313,Luke Shliger,shliglu42,Maryland
3,2/28/23,15:59:39,1,3,Kyle McCoy,mccoyky43,Left,Maryland,Bryce Greenly,greenbr71,Right,Delaware,Windup,1,Top,0,1,1,Sinker,,Foul,,,,0,0,,94.10291911,-1.015147119,4.793825342,1744.44262,117.9610852,10:00,5.717664636,-2.802183772,6.795948183,-25.60908042,8.01021191,-11.85140422,2.486963253,-0.946305195,82.96659401,-5.673451075,0.457414076,0.404697117,,,,,,,,,,,,7.696864561,4.529611072,2.429246489,50,5.624017453,-11.05468356,-136.4874447,-3.226550923,14.46610531,31.06402934,-23.66073481,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,d1111fb5-b7aa-11ed-b67c-6fb3b48fc13b,94.27536477,5.7155923,-2.805988447,-0.990306021,4.840301624,83.10621503,2.489168545,-0.943204353,-5.637592474,0.507508026,0.404575306,-12.32015983,6.540183351,7.851178526,9.122436523,1728.090598,238.2917147,99.06262193,-0.464476663,0.136600489,0.874986706,,,,,,,,,,,,,,,,,0.992768691,1,,,high,high,98.21018826,-10.06885124,54.52405182,Luke Shliger,shliglu42,Maryland
4,2/28/23,15:59:56,1,4,Kyle McCoy,mccoyky43,Left,Maryland,Bryce Greenly,greenbr71,Right,Delaware,Windup,1,Top,0,1,2,Slider,,BallCalled,,,,0,0,,84.31513761,-1.823450874,2.226321853,,,,5.972129014,-2.236933749,7.340403024,,,,1.27839595,-0.522990248,76.57664022,-8.472577281,1.492859011,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,db3d9e2e-b7aa-11ed-b1d9-257e6225a21a,84.44236291,5.967556291,-2.236933749,-1.767194911,2.226321853,76.67371513,1.282392884,-0.522990248,-8.407391962,1.492859011,0.444792599,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.97959698,Luke Shliger,shliglu42,Maryland
5,2/28/23,16:00:08,1,5,Kyle McCoy,mccoyky43,Left,Maryland,Bryce Greenly,greenbr71,Right,Delaware,Windup,1,Top,0,2,2,Four-Seam,,StrikeCalled,Strikeout,,,1,0,,91.48561774,-2.021172183,4.064233967,,,,6.403374703,-1.933913347,7.100416037,,,,2.814494302,0.827558496,82.27007323,-5.500722411,1.649317604,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,e2b17307-b7aa-11ed-a9b5-75bf97f52696,91.62861847,6.399263128,-1.933913347,-1.972243331,4.064233967,82.38631244,2.818004365,0.827558496,-5.443321909,1.649317604,0.412670299,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.21958396,Luke Shliger,shliglu42,Maryland
6,2/28/23,16:00:33,2,1,Kyle McCoy,mccoyky43,Left,Maryland,Dan Covino,covinda42,Left,Delaware,Windup,1,Top,1,0,0,Four-Seam,,BallCalled,,,,0,0,,90.49148456,-2.328921465,4.408241982,,,,6.465818855,-1.513739635,7.060018165,,,,2.355262516,1.609521337,82.80860245,-6.486669174,2.598106072,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,f196f026-b7aa-11ed-822e-c742dbf582a1,90.63086692,6.461727893,-1.513739635,-2.279235478,4.408241982,82.92348091,2.358797667,1.609521337,-6.429866679,2.598106072,0.417833463,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.25998183,Luke Shliger,shliglu42,Maryland
7,2/28/23,16:00:45,2,2,Kyle McCoy,mccoyky43,Left,Maryland,Dan Covino,covinda42,Left,Delaware,Windup,1,Top,1,1,0,Sinker,,Foul,,,,0,0,,90.67391724,-0.159361495,3.063834637,1741.043702,119.0278735,10:00,5.792317515,-2.119363962,6.822528137,-25.23194728,8.119310221,-11.46857772,3.468384185,-0.508473819,83.11365332,-4.495024836,0.780603982,0.419100041,62.27020813,74.91105219,-76.12069104,,,,,99.72106057,,-76.22292421,5.093923188,7.161889979,4.484938019,1.88497302,50,5.765688278,-6.681875078,-131.8011758,-1.196782126,12.53529208,29.31790754,-24.32416524,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,f8a12b7a-b7aa-11ed-a356-6d3f58eb063f,90.84373202,5.790125479,-2.123290285,-0.132971954,3.112262775,83.25671125,3.470443858,-0.505419355,-4.460976437,0.830532181,0.418970139,-11.94180241,6.67363172,13.7951542,27.78731143,1690.822338,415.1541775,97.11544499,-0.47123818,0.238451325,0.849161671,-15.73678994,3.8884313,60.12330967,0.187982822,0.026647866,3.709890517,-96.85204977,23.74806048,,,,,,,,,0.992871925,1,,16.42020399,high,high,64.99140797,-66.39461515,54.49747186,Luke Shliger,shliglu42,Maryland
8,2/28/23,16:01:02,2,3,Kyle McCoy,mccoyky43,Left,Maryland,Dan Covino,covinda42,Left,Delaware,Windup,1,Top,1,1,1,Slider,,Foul,,,,0,0,,81.77216359,-1.02200753,2.548306353,1956.63852,55.5250504,7:45,6.163646024,-2.069336726,7.236560564,-41.55026214,0.018377274,-2.079808929,1.915952919,-0.103119608,74.63331853,-8.341691417,1.644184823,0.459943335,,,,,,,,,,,,1.785844217,0.363790568,1.888498688,50,6.071977915,-5.244025985,-119.0085166,-3.22166669,2.559319769,22.99315317,-31.65269594,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,029c992b-b7ab-11ed-91ac-879c8ae606d5,81.90306571,6.158523235,-2.073864269,-0.959471632,2.604173385,74.73080157,1.920483848,-0.099633331,-8.26830354,1.701174322,0.459822123,-2.63992168,-1.907938701,77.71973008,26.70767414,416.1651,1911.868433,21.26939114,0.120394509,0.977118877,0.175339277,,,,,,,,,,,,,,,,,0.99266392,1,,,high,high,65.96310054,-35.2512773,54.08343944,Luke Shliger,shliglu42,Maryland
9,2/28/23,16:01:15,2,4,Kyle McCoy,mccoyky43,Left,Maryland,Dan Covino,covinda42,Left,Delaware,Windup,1,Top,1,1,2,Slider,,InPlay,,LineDrive,Double,0,0,,81.83873123,-0.454474002,1.725063912,1830.290357,108.5155174,9:30,6.080302538,-2.099809832,7.277779728,-36.0576826,3.845465053,-2.955672624,2.651075077,-0.282654064,75.87466387,-6.711933895,1.968910441,0.458762079,99.65858503,18.57059918,14.96196878,927.2017609,,,,327.3692591,,14.86443163,3.267062289,2.028815979,2.118158019,1.979342521,50,6.031480111,-3.514559334,-119.1968713,-1.93663311,2.918578338,22.93085136,-29.12694715,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,0c55b5a1-b7ab-11ed-b84d-39fff4605dfc,81.9826837,6.076006937,-2.10384359,-0.402329095,1.774782051,75.99155329,2.654748742,-0.279704436,-6.651979366,2.017054316,0.458627136,-3.430732748,2.116221836,77.01486878,20.89865356,411.2629067,1783.486926,22.4698177,-0.071355486,0.974428412,0.213067279,24.38994587,91.26679478,31.73856142,0.357400905,0.849398277,2.641856801,83.98096308,316.4140162,9.649908769,39.14386103,0.577039392,0.83456388,-0.550815986,-0.010241072,,,0.997213598,1,0.912265048,58.7440055,high,high,71.19121943,-21.20975583,54.04222027,Luke Shliger,shliglu42,Maryland
10,2/28/23,16:01:55,3,1,Kyle McCoy,mccoyky43,Left,Maryland,Joey Loynd,loyndjo42,Right,Delaware,Stretch,1,Top,1,0,0,Sinker,,StrikeCalled,,,,0,0,,90.71029878,-1.826085072,4.487601188,1721.639734,121.7642395,10:00,5.721650984,-2.81859741,6.964680087,-24.86030447,8.744956696,-11.22006046,1.916020579,0.261706294,82.9329941,-6.393959675,1.787130665,0.41838234,,,,,,,,,,,,7.442617142,5.312748521,2.48261548,50,5.569424937,-9.975406158,-131.6153784,-4.994137592,13.0093049,28.84830073,-22.88764347,Maryland,Delaware,shi01,NCAA D1,BIG10,0fb8c1fc-a8d6-46c8-8787-94d5047e42da,2237b58a-b7ab-11ed-89d0-19feb488bf93,90.87756369,5.719512958,-2.822375983,-1.800719688,4.53327671,83.07177655,1.918017995,0.264581074,-6.360978981,1.834185648,0.4182542,-11.6635171,7.344607205,8.933384499,20.16185462,1700.755474,267.3465742,98.78695528,-0.520039469,0.155286015,0.839907855,,,,,,,,,,,,,,,,,0.996559184,1,,,high,high,108.1456653,-21.35089764,54.35531991,Luke Shliger,shliglu42,Maryland
