PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/7/23,16:01:17,1,1,Kyle McCoy,mccoyky43,Left,Maryland,Christian Easley,easlech43,Right,UMBC,Windup,1,Top,0,0,0,Sinker,,InPlay,,GroundBall,Out,1,0,,90.02526095,-2.090597285,2.952486767,1686.10042,118.6463783,10:00,5.746342155,-2.571918081,6.957708079,-25.67577234,7.836295767,-10.97241069,1.817043378,-0.445697127,82.99770853,-6.42607783,0.326997608,0.421064045,,,,,,,,,,,,6.88524021,4.943756604,2.352670655,50,5.573263042,-6.401589821,-130.8221835,-5.602142801,11.88358344,28.64924952,-23.64137065,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,34c92d5c-bd2b-11ed-87de-05bc610260af,90.18973518,5.743947384,-2.575838766,-2.062254208,2.999871767,83.13553508,1.819227149,-0.442699387,-6.390684949,0.375397369,0.420935272,-11.42653501,6.39581713,16.70568094,17.47744817,1614.936861,484.6788227,95.77939973,-0.459168729,0.28745549,0.840555423,,,,,,,,,,,,,,,,,0.972521725,1,,,high,high,74.27028801,-60.331478,54.36229192,Luke Shliger,shliglu42,Maryland
2,3/7/23,16:01:48,2,1,Kyle McCoy,mccoyky43,Left,Maryland,Ian Diaz,diaz-ia43,Right,UMBC,Windup,1,Top,1,0,0,Sinker,,BallCalled,,,,0,0,,91.89699167,-0.096164163,3.012891913,,,,5.875457864,-2.552888074,6.747021577,,,,3.904647315,-1.35653232,82.6639573,-4.029828927,0.093882163,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,4700299e-bd2b-11ed-a4d7-9b40f69efa01,92.04662914,5.871386786,-2.552888074,-0.047504579,3.012891913,82.78610611,3.908175836,-1.35653232,-3.972300678,0.093882163,0.412905323,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.57297842,Luke Shliger,shliglu42,Maryland
3,3/7/23,16:01:59,2,2,Kyle McCoy,mccoyky43,Left,Maryland,Ian Diaz,diaz-ia43,Right,UMBC,Windup,1,Top,1,1,0,Sinker,,InPlay,,FlyBall,Out,1,0,,94.54154323,-1.723637005,5.905884376,,114.4909406,9:45,5.758779735,-2.205023327,6.79417789,,,,2.013837113,-0.013660812,82.22688748,-6.233442521,0.294177958,0.403275483,91.74748342,38.90574696,18.62251769,,,,,338.5763347,,18.62998932,4.569274779,6.407433864,3.530980334,1.741724836,50,5.60752405,-13.86118025,-136.8546628,-5.010486606,12.13515236,30.58995094,-25.48666346,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,4d7e2e68-bd2b-11ed-ab1d-c59e8b9fa720,94.70703248,5.756122327,-2.20772578,-1.691087459,5.93926041,82.35827747,2.016591852,-0.01141339,-6.188308378,0.331007748,0.403158149,-9.335440279,4.258668867,10.00238269,36.84784287,1173.485988,206.9675611,98.48005306,-0.408248428,0.173689133,0.896194904,22.79903341,67.65798583,57.62119178,-0.021187378,-0.276593479,1.827781495,108.1600179,320.8353861,,,,,,,,,0.768465555,1,,49.52635499,high,high,56.83699208,-66.31934261,54.52582211,Luke Shliger,shliglu42,Maryland
4,3/7/23,16:02:28,3,1,Kyle McCoy,mccoyky43,Left,Maryland,Justin Taylor,tayloju52,Right,UMBC,Windup,1,Top,2,0,0,Four-Seam,,StrikeCalled,,,,0,0,,93.70922038,-2.829329659,3.963471149,1790.086096,137.7647196,10:30,6.477008435,-1.944793383,6.811004497,-22.22303294,12.00883415,-9.296031422,2.050272419,-0.780653998,82.34232926,-6.568516464,-0.683557655,0.406197079,,,,,,,,,,,,6.086031795,7.143767663,1.637417745,50,6.242507541,-9.113285161,-135.9292264,-7.40723794,11.34903672,30.7167369,-18.85258098,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,5edd8794-bd2b-11ed-8def-35450407fd29,93.88677396,6.475993824,-1.947752168,-2.817603182,3.999198369,82.48909894,2.051641361,-0.778263062,-6.546038095,-0.644714296,0.406067769,-9.65865458,10.64180854,4.392469672,74.74610223,1784.828302,137.0990897,99.70628267,-0.738216182,0.076587986,0.670202319,,,,,,,,,,,,,,,,,0.997504621,1,,,high,high,22.72849209,-74.20722932,54.5089955,Luke Shliger,shliglu42,Maryland
5,3/7/23,16:02:39,3,2,Kyle McCoy,mccoyky43,Left,Maryland,Justin Taylor,tayloju52,Right,UMBC,Windup,1,Top,2,0,1,Sinker,,BallCalled,,,,0,0,,91.60223268,-2.490521094,2.604444629,1432.709413,123.2764099,10:00,5.828875743,-2.645764339,6.930800024,-24.63924363,7.836200289,-9.535182211,1.604637936,-1.118341617,84.38072463,-6.490048916,-0.384502145,0.413897292,,,,,,,,,,,,5.998017137,5.029763454,2.451175734,50,5.62456749,-5.746773333,-133.1160847,-6.599577435,10.72610209,29.47438118,-23.17945103,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,6547a121-bd2b-11ed-aa20-29230c86679d,91.76613896,5.82653312,-2.648763909,-2.462452076,2.641053862,84.51948903,1.606770926,-1.11600809,-6.45538203,-0.346593748,0.413771427,-9.890280454,6.441183221,2.475258339,13.24539443,1431.372644,61.87581294,99.90669643,-0.548166712,0.043187971,0.835253288,,,,,,,,,,,,,,,,,0.994419535,1,,,high,high,101.920849,-30.83425165,54.38919998,Luke Shliger,shliglu42,Maryland
6,3/7/23,16:02:50,3,3,Kyle McCoy,mccoyky43,Left,Maryland,Justin Taylor,tayloju52,Right,UMBC,Windup,1,Top,2,1,1,Changeup,,StrikeCalled,,,,0,0,,87.63445879,-0.665429078,3.961978846,1509.009503,111.004362,9:45,5.859313768,-2.329301106,7.158883854,-31.36436533,6.230039776,-11.71933754,2.9040597,-1.093225491,77.89879908,-5.452320305,-0.393775574,0.430993696,,,,,,,,,,,,7.511964925,3.48376099,2.046622513,50,5.796661814,-8.480048344,-127.3327877,-2.354946899,12.28586894,27.08177687,-26.47633516,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,6c5a9921-bd2b-11ed-bd43-6b1a77649cc0,87.78951883,5.855828134,-2.332770943,-0.62382149,4.003916416,78.02284609,2.907282519,-1.090487155,-5.399835159,-0.349228076,0.430867937,-12.12989444,4.459524536,-7.744436233,4.723185852,1495.245809,-203.3461407,99.08789874,-0.355169697,-0.134754712,0.925038191,,,,,,,,,,,,,,,,,0.760875891,1,,,high,high,94.25086637,6.957375902,54.16111615,Luke Shliger,shliglu42,Maryland
7,3/7/23,16:03:02,3,4,Kyle McCoy,mccoyky43,Left,Maryland,Justin Taylor,tayloju52,Right,UMBC,Windup,1,Top,2,1,2,Sinker,,Foul,,,,0,0,,94.85814457,-1.063453674,4.523983275,1691.632793,123.9790933,10:15,5.827629406,-2.746869151,6.761275396,-24.07315241,8.804051029,-10.46888411,2.930866793,-0.765411731,83.83031754,-4.731484114,0.316017218,0.401547811,,,,,,,,,,,,6.864628697,5.015457771,2.391957134,50,5.730124916,-10.53878835,-137.6284035,-3.327453076,13.12236613,31.50267193,-22.58654295,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,73219b35-bd2b-11ed-8ff5-1db1f97093ed,95.03474957,5.825967125,-2.750331399,-1.04356632,4.566465854,83.97692646,2.932725628,-0.762575506,-4.700896416,0.362125524,0.401424109,-10.90294564,7.410511346,15.7704612,28.51212336,1627.956756,459.7589681,96.23582389,-0.537852741,0.271784142,0.798027449,,,,,,,,,,,,,,,,,0.957803516,1,,,high,high,64.33909609,-60.11014084,54.5587246,Luke Shliger,shliglu42,Maryland
8,3/7/23,16:03:15,3,5,Kyle McCoy,mccoyky43,Left,Maryland,Justin Taylor,tayloju52,Right,UMBC,Windup,1,Top,2,1,2,Changeup,,InPlay,,GroundBall,Out,1,0,,88.04925469,-0.847984479,4.5040033,1478.708922,115.4180158,9:45,5.789185947,-2.376682972,7.103067914,-31.49769644,7.23559901,-11.29724533,2.425703692,-0.876612164,76.97226045,-6.406956988,-0.257461359,0.429635654,,,,,,,,,,,,7.323992543,4.038061388,2.049878769,50,5.71257389,-9.742889235,-127.8337923,-2.749905908,12.08043299,27.14198223,-25.51353898,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,7b01eafa-bd2b-11ed-8177-efbd69406117,88.20954601,5.786090299,-2.380253241,-0.811480803,4.546726522,77.09618377,2.428753121,-0.873799754,-6.357334098,-0.211677962,0.429506993,-11.72569932,5.463954968,2.584651845,23.73439154,1477.20461,66.68295085,99.89826856,-0.428782502,0.045095387,0.902281537,,,,,,,,,,,,,,,,,0.997464379,1,,,high,high,111.3609591,-5.627144672,54.21693209,Luke Shliger,shliglu42,Maryland
9,3/7/23,16:06:19,1,1,Jayden Shertel,shertja42,Left,UMBC,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Bottom,0,0,0,Sinker,,InPlay,,LineDrive,Out,1,0,,85.57691994,-1.191859645,3.323444565,1922.01602,140.9262799,10:45,6.184688178,-0.218827159,5.887828709,-25.27978797,14.24732,-9.758128351,2.814293304,-0.24310408,73.1775818,-5.741066741,-1.889308755,0.452500478,101.6966639,19.74412782,18.611227,,,,,307.5140573,,18.63691719,2.883052464,6.093745834,7.822149951,-0.089084486,50,6.051960152,-6.862731323,-124.1380462,-3.483359843,9.458074381,26.09271199,-20.03332727,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,e8f1b4e8-bd2b-11ed-8e35-35e36be5a6c4,85.75727345,6.183461359,-0.222320196,-1.177938753,3.365259874,73.32527378,2.816287089,-0.240122953,-5.708811592,-1.84173657,0.452340923,-10.14848152,12.66859297,11.19171174,15.23404114,1885.465507,373.0487955,98.09832422,-0.761572211,0.194092449,0.618333153,30.54791709,90.71249591,34.35519304,0.481956871,1.862295979,3.048267733,98.27224126,291.3888502,,,,,,,,,0.964254072,1,,60.57583358,high,high,76.28937511,56.02427751,55.43217129,Tony Krueger,kruegto42,Maryland baltimore county
10,3/7/23,16:06:48,2,1,Jayden Shertel,shertja42,Left,UMBC,Nick Lorusso,lorusni42,Right,Maryland,Windup,1,Bottom,1,0,0,Slider,,BallCalled,,,,0,0,,79.2016283,0.924118609,2.048476076,2000.978674,267.0676722,3:00,6.007506937,-0.260934727,5.814252092,-42.78570157,3.277750804,5.414556554,3.284006796,1.136113548,71.82538804,-6.387313664,2.186926835,0.488483349,,,,,,,,,,,,-2.244579605,1.449037486,0.059712715,50,6.062449911,-4.294595957,-115.0304575,0.432736873,-2.999249723,21.88187352,-30.23781829,Maryland,Maryland Baltimore County,shi01,NCAA D1,BIG10,f727c6c8-a198-4f16-a968-f02c2e7b3d7f,fa22e43a-bd2b-11ed-886e-2941eee8a14b,79.33144711,6.001534629,-0.263475093,0.995336184,2.079547039,71.92184059,3.289225932,1.1379845,-6.303856146,2.216514447,0.48835251,5.119360831,1.060957942,78.57569702,32.53357778,396.3400677,1961.333782,19.80731093,-0.010132714,0.980187249,-0.197813763,,,,,,,,,,,,,,,,,0.996473374,1,,,high,high,60.71980157,7.110120328,55.50574791,Tony Krueger,kruegto42,Maryland baltimore county
