PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/12/23,13:00:40,1,1,Kyle McCoy,mccoyky43,Left,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,92.41571265,-1.534810368,6.336600848,1711.558367,126.7035656,10:15,5.75145655,-2.647526274,6.66683651,-25.99000532,10.00643621,-10.7056292,2.325777191,1.008779885,80.45025944,-5.366372476,2.525046328,0.414081076,,,,,,,,,,,,7.430995703,5.680142318,2.136899066,50,5.612346739,-14.48942051,-133.6445323,-4.390939267,13.40636005,29.46892816,-21.92642786,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,6be0082e-c0f7-11ed-8bc4-cd895e937817,92.59211132,5.749737458,-2.651116218,-1.514631792,6.37954685,80.59275976,2.327754623,1.011652112,-5.333751371,2.571637797,0.41395182,-11.15291639,8.521572373,14.06424583,7.532288313,1660.252434,415.9253525,97.00238485,-0.579759044,0.243009739,0.777705418,,,,,,,,,,,,,,,,,0.997145561,1,,,high,high,96.77905786,-19.57446528,54.65316349,Luke Shliger,shliglu42,Maryland
2,3/12/23,13:00:53,1,2,Kyle McCoy,mccoyky43,Left,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,1,0,Sinker,,BallCalled,,,,0,0,,92.50776401,-0.171688626,3.029703931,1570.573235,127.1068974,10:15,5.781043088,-2.625489963,6.518778436,-26.36700191,9.432566832,-10.13271431,3.433787121,-2.128437863,80.60582925,-4.275690907,-0.879258419,0.413097806,,,,,,,,,,,,6.153606956,4.93070472,2.377451876,50,5.751899771,-6.772256015,-134.4098834,-1.231710493,11.20903713,30.29794236,-23.19257699,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,7310b34f-c0f7-11ed-b65d-158dfe03e5f2,92.68590998,5.779146151,-2.628795748,-0.149458201,3.069462465,80.75041855,3.435885724,-2.125794544,-4.240986876,-0.835970548,0.41296483,-10.54369901,7.860742188,9.125038735,5.67666186,1550.696996,249.0765209,98.73445958,-0.595668942,0.158589562,0.78741848,,,,,,,,,,,,,,,,,0.99737947,1,,,high,high,95.10899492,-16.86378509,54.80122156,Luke Shliger,shliglu42,Maryland
3,3/12/23,13:01:06,1,3,Kyle McCoy,mccoyky43,Left,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,2,0,Sinker,,StrikeSwinging,,,,0,0,,92.70996791,-1.25561712,4.975615154,1622.67361,124.0572401,10:15,5.757264341,-2.498709059,6.704835902,-23.91082808,8.783898054,-10.39072514,2.1787579,-0.285693859,80.52735613,-5.74339894,1.046984232,0.411538409,,,,,,,,,,,,7.03630644,5.100957037,2.10289616,50,5.641959085,-11.35152292,-134.4052895,-3.761959139,12.83249628,29.94776923,-22.87115569,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,7b09cfcc-c0f7-11ed-89d6-3f28ed57f277,92.88489707,5.755261842,-2.502244293,-1.232262701,5.017738724,80.6668843,2.180970824,-0.282867521,-5.707228404,1.092752659,0.41141028,-10.7799292,7.465066506,10.45300127,21.38531798,1595.743818,294.3999188,98.34040611,-0.550726785,0.181428919,0.81472913,,,,,,,,,,,,,,,,,0.998109336,1,,,high,high,109.2467984,-17.99721767,54.6151641,Luke Shliger,shliglu42,Maryland
4,3/12/23,13:01:20,1,4,Kyle McCoy,mccoyky43,Left,Maryland,Jake Rainess,raineja49,Right,Maine,Windup,1,Top,0,2,1,Sinker,,InPlay,,GroundBall,Out,1,0,,92.97150607,-0.900291857,5.018682355,1700.555092,121.5470927,10:00,5.793703409,-2.471918196,6.820308665,-25.92063625,8.652129354,-11.54301668,2.585131438,-0.174208355,81.80168559,-5.509446969,1.396123402,0.409518847,,,,,,,,,,,,7.589279821,4.779342564,2.082993915,50,5.709515032,-11.46439046,-134.8124888,-2.920941967,13.9183797,30.25885654,-23.40896171,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,835adaf3-c0f7-11ed-be4b-3519f07285ad,93.14248391,5.791554494,-2.475348015,-0.87451825,5.060551088,81.94005369,2.587378575,-0.171425759,-5.472700072,1.441224506,0.409395204,-11.96497077,7.157786162,-4.319133921,15.33585065,1695.725581,-128.0717514,99.71600387,-0.521713328,-0.075311733,0.849790178,,,,,,,,,,,,,,,,,0.996873617,1,,,high,high,103.8022642,-28.06561728,54.49969134,Luke Shliger,shliglu42,Maryland
5,3/12/23,13:01:49,2,1,Kyle McCoy,mccoyky43,Left,Maryland,Quinn Mcdaniel,mcdanqu43,Right,Maine,Windup,1,Top,1,0,0,Sinker,,InPlay,,Popup,Out,1,0,,90.88282978,-1.249933143,4.092090655,1694.630053,129.5059303,10:15,5.924041714,-2.468935968,6.718036865,-24.83053831,10.26946885,-10.17466076,2.933257379,0.003989939,81.24993017,-4.842360247,1.489794258,0.419324712,92.07194443,85.40225797,6.630371648,,,,,54.96940347,,6.39096518,7.052038587,6.609962867,5.843171068,2.14545467,50,5.809756709,-9.106352495,-131.9142887,-3.669314277,11.60388825,29.03620158,-21.91627576,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,9508d333-c0f7-11ed-a74d-eb06590a3997,91.05634759,5.922376899,-2.472313333,-1.230018266,4.133484426,81.39674714,2.935107547,0.006758882,-4.812181068,1.534230262,0.419192384,-10.5905118,8.818783152,12.3336857,8.947170011,1655.518261,361.9810834,97.6920159,-0.621475655,0.213604782,0.75375129,0.852174589,7.331091424,91.77566044,-0.073923605,0.993219137,3.052890427,6.118766673,54.62779524,,,,,,,,,0.997405988,1,,42.67702156,high,high,98.05245127,-20.07304755,54.60196313,Luke Shliger,shliglu42,Maryland
6,3/12/23,13:02:19,3,1,Kyle McCoy,mccoyky43,Left,Maryland,Jeremiah Jenkins,jenkije48,Left,Maine,Windup,1,Top,2,0,0,Four-Seam,,BallCalled,,,,0,0,,89.48079893,-2.800246725,3.62804664,1663.957759,141.2462778,10:45,6.507566858,-1.850687888,6.994274774,-23.28867042,12.14876724,-8.205322492,1.964581355,0.908164867,80.79010633,-6.607293057,2.147049606,0.423642377,,,,,,,,,,,,5.481476828,7.363447585,1.580573655,50,6.283995002,-7.984929015,-129.8903826,-7.063037994,9.33587928,27.98709071,-19.63285678,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,a6c8f5b5-c0f7-11ed-ba06-23ad33b1cfe9,89.65224241,6.506241406,-1.85340826,-2.784830888,3.660907776,80.93434505,1.966058535,0.910272922,-6.582741494,2.181465188,0.423505394,-8.529434244,10.78180132,7.965424608,75.28340426,1647.903683,230.5837705,99.03518729,-0.772319786,0.138575495,0.619934658,,,,,,,,,,,,,,,,,0.997669938,1,,,high,high,22.24500958,-53.68919324,54.32572523,Luke Shliger,shliglu42,Maryland
7,3/12/23,13:02:31,3,2,Kyle McCoy,mccoyky43,Left,Maryland,Jeremiah Jenkins,jenkije48,Left,Maine,Windup,1,Top,2,1,0,Slider,,InPlay,,Popup,Out,1,0,,81.1256498,-0.546045966,2.633800621,1904.913523,114.4438365,9:45,6.2041947,-2.435260316,7.084418122,-37.50959521,4.85970341,-3.461870846,2.735398101,0.078587009,73.89968431,-6.704326144,2.36777987,0.464874712,87.18757382,65.62810549,-13.14464813,2852.820952,1.938964559,109.9829096,152.5441275,215.2920312,,-1.171648386,6.136019385,2.476774928,2.7113539,2.241991509,50,6.145522962,-5.342407321,-118.0480887,-2.147643541,3.494233403,22.51591176,-28.34887223,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,adb6741e-c0f7-11ed-90df-9d9057ed9f6d,81.27345949,6.199920773,-2.439593489,-0.49514514,2.686233662,74.01836408,2.739217695,0.081888966,-6.642424984,2.421216423,0.464734269,-3.982231846,3.035132869,75.57747271,38.05178062,474.4581054,1844.880764,24.90706795,-0.103065712,0.96848531,0.22674581,-8.181905781,35.03594619,79.41795717,-0.060601132,2.771049809,3.266690589,-4.402226187,215.2470188,48.32786627,-12.57405659,-0.084249966,0.016075376,0.956423951,0.291538689,,,0.994786356,1,0.893204585,45.12826906,high,high,55.75339003,8.672604616,54.23558188,Luke Shliger,shliglu42,Maryland
8,3/12/23,13:05:14,1,1,Noah Lewis,lewisno44,Right,Maine,Luke Shliger,shliglu42,Left,Maryland,Stretch,1,Bottom,0,0,0,Four-Seam,,Foul,,,,0,0,,91.5745869,-1.610652846,-2.461615221,2321.175147,214.5683522,1:15,6.05038329,2.713402577,,-23.04943684,15.87821423,8.73678744,2.830525115,-0.063882718,80.56578779,-4.459360857,-2.336268234,0.43636461,,,,,,,,,,,,-4.853849115,8.032113772,-2.417846884,50,5.823291697,5.307838613,-132.5458251,-4.733780577,-8.589411333,29.72480319,-17.96035496,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,0f24bc80-c0f8-11ed-8f2c-d3d8eb01c126,91.78842283,6.05001366,2.717834053,-1.60764467,-2.508162888,80.73918304,2.831387154,-0.066947434,-4.445005876,-2.384321056,0.436192926,9.221764904,14.3531215,-35.38121264,80.12775759,1892.495172,-1343.992591,81.53176958,-0.671373272,-0.579013864,-0.462602286,,,,,,,,,,,,,,,,,0.997347363,1,,,high,high,17.88503142,-27.10146629,57.1173158,Colby Emmertz,emmerco43,Maine
9,3/12/23,13:05:31,1,2,Noah Lewis,lewisno44,Right,Maine,Luke Shliger,shliglu42,Left,Maryland,Stretch,1,Bottom,0,0,1,Splitter,,BallCalled,,,,0,0,,80.26429337,-1.123185141,-1.558857228,633.125856,242.7716698,2:00,6.041255216,2.255146757,6.683990865,-39.39889802,4.83950856,5.081206112,1.525876671,1.014946515,73.06729874,-8.509438668,-0.709571134,0.473517803,,,,,,,,,,,,-3.160023536,2.864550895,-2.131918543,50,5.927913084,3.029468089,-116.7755423,-3.423833241,-4.35836189,22.23095313,-28.22320893,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,191e023a-c0f8-11ed-868f-4790f945122c,80.40420325,6.036606975,2.257095306,-1.067470026,-1.58252252,73.17447642,1.530039167,1.013436047,-8.442984643,-0.733966796,0.473378397,5.316299841,2.85572226,-25.65627205,43.68389204,570.7045371,-274.1253015,90.14077243,-0.41242797,-0.432971263,-0.80152296,,,,,,,,,,,,,,,,,0.998111152,1,,,high,high,50.68449016,-55.90849318,54.63600914,Colby Emmertz,emmerco43,Maine
10,3/12/23,13:05:49,1,3,Noah Lewis,lewisno44,Right,Maine,Luke Shliger,shliglu42,Left,Maryland,Stretch,1,Bottom,0,1,1,Splitter,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maine,shi01,NCAA D1,BIG10,ff4c6877-e83f-4849-8539-de8e614652ec,191e023a-c0f8-11ed-868f-4790f945122d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Emmertz,emmerco43,Maine
