PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/18/23,14:01:31,1,1,Nick Dean,dean-ni43,Right,Maryland,Carson Dunkel,dunkeca42,Left,Albany,Windup,1,Top,0,0,0,Four-Seam,,InPlay,,Popup,Out,1,0,,90.94246801,-2.755911603,-3.340826018,2193.02465,209.1406604,1:00,6.308440747,2.000423187,7.230481074,-17.69415608,15.57023828,7.870916073,2.791048233,-0.153516197,82.50086378,-4.662104377,-1.83540518,0.415108219,76.88718375,59.57809155,-2.093003435,,-3.787971409,109.9347592,115.4423212,227.6165307,,-2.035219064,5.348381845,-5.308190867,9.374030764,-1.765322684,50,6.103103328,7.475992789,-132.0930412,-6.897396962,-9.331972724,29.44861396,-15.69419767,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,ea74b214-c5b6-11ed-86e5-7d95407ad867,91.12392036,6.308488894,2.002993517,-2.757113007,-3.371659558,82.65871451,2.791387299,-0.155474491,-4.655927791,-1.867472725,0.414969295,8.151476935,14.39865147,1.380300836,84.13589945,2192.388302,52.82659597,99.97098308,-0.873173429,0.024088464,-0.486814039,-1.421893564,38.90689218,66.30136488,0.21797252,-0.070102536,2.782376969,-8.083528914,227.472947,,,,,,,,,0.997999105,1,,34.95557621,high,high,14.27744056,22.10879117,54.08951893,Luke Shliger,shliglu42,Maryland
2,3/18/23,14:01:55,2,1,Nick Dean,dean-ni43,Right,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,0,0,Changeup,,StrikeCalled,,,,0,0,,84.69960189,-2.73131077,-1.74422101,1851.432711,227.8378487,1:30,6.393290535,1.523445416,7.281372498,-27.95538619,11.64322172,11.05920231,2.089856841,0.753918543,75.89325546,-6.675536765,0.450728129,0.444745033,,,,,,,,,,,,-6.58396051,7.112059877,-1.405416635,50,6.188508186,3.448028498,-123.1888059,-6.615670005,-10.06440673,25.66907929,-21.30237695,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,f8d5f6cf-c5b6-11ed-973f-fb9c9b490a51,84.8573762,6.391084033,1.526565729,-2.705193282,-1.78218712,76.02403768,2.09210302,0.751470123,-6.638858112,0.410862599,0.444604856,11.42687895,9.936323975,15.06734128,73.53161476,1787.782235,481.2876112,96.56209616,-0.648154799,0.259954147,-0.715764764,,,,,,,,,,,,,,,,,0.997286575,1,,,high,high,23.82162989,-5.261291327,54.0386275,Luke Shliger,shliglu42,Maryland
3,3/18/23,14:02:10,2,2,Nick Dean,dean-ni43,Right,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,0,1,Four-Seam,,BallCalled,,,,0,0,,93.39166921,-3.749350377,-3.017110738,2237.103051,209.9543625,1:00,6.187888057,1.823328942,7.490891342,-16.00817753,15.23662504,7.835034473,1.456916537,-0.939056939,82.91323013,-6.333240393,-2.067710302,0.402309617,,,,,,,,,,,,-5.228947939,9.554395403,-1.624702331,50,5.930082132,6.921230488,-135.6225892,-9.363889471,-9.695998086,30.88651443,-14.45740742,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,013a034f-c5b7-11ed-9c80-375acb63cfd0,93.57124115,6.188126487,1.825915462,-3.752819698,-3.048811915,83.06640658,1.457219715,-0.941122179,-6.327663845,-2.101384207,0.402180653,8.122364525,14.18193801,-3.398648446,86.26105158,2233.168494,-132.6217921,99.82412266,-0.864899549,-0.059282827,-0.498431858,,,,,,,,,,,,,,,,,0.997293401,1,,,high,high,12.36480789,18.78503371,53.82910866,Luke Shliger,shliglu42,Maryland
4,3/18/23,14:02:23,2,3,Nick Dean,dean-ni43,Right,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,1,1,Curveball,,BallCalled,,,,0,0,,72.74971785,3.139172298,1.196114272,2145.013642,24.80385144,6:45,6.523004457,1.565438208,7.087417213,-66.0373538,-13.44680022,-7.705040131,3.670428497,1.909595986,65.74777738,-9.395220709,-0.164467774,0.521945784,,,,,,,,,,,,4.608572967,-8.379864507,-1.650060867,50,6.723044698,-2.018945492,-105.7022412,4.186838699,5.139914598,20.4076997,-41.52006368,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,092d20ae-c5b7-11ed-9d96-4755c5d54ffd,72.81523398,6.509870871,1.564823721,3.302360809,1.203670374,65.75800946,3.680752597,1.910106184,-9.230359025,-0.156028769,0.521882968,-7.773146087,-17.13239816,-20.81194934,92.71200883,2005.054924,-762.1274668,93.47515954,0.848520088,-0.355301921,0.392140542,,,,,,,,,,,,,,,,,0.99735296,1,,,high,high,6.558677126,49.23283984,54.23258279,Luke Shliger,shliglu42,Maryland
5,3/18/23,14:02:37,2,4,Nick Dean,dean-ni43,Right,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,2,1,Four-Seam,,Foul,,,,0,0,,94.17291689,-2.576170405,-0.933230947,2266.470215,214.1635058,1:15,6.271393462,1.932756899,7.266124435,-16.253928,14.65829495,8.858470482,2.751325281,0.496162024,82.93696264,-4.893301055,-0.203558104,0.400162733,86.67012411,68.25677334,-50.62057308,,-85.61816919,69.06177745,160.9259008,210.7875764,,-50.87570587,6.293203622,-5.158545611,8.842646903,-1.870729546,50,6.081619592,1.960051472,-137.015894,-6.664381916,-9.742983222,32.10143673,-15.47287703,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,11844c51-c5b7-11ed-a40c-b5b8e8a40fb7,94.35521919,6.271567085,1.935702237,-2.578925474,-0.969566405,83.0931237,2.751698792,0.493782833,-4.886612237,-0.242639859,0.400031356,9.187938773,13.54397761,-3.582847642,88.70952109,2262.040356,-141.6356739,99.8045481,-0.825821178,-0.062491743,-0.560458887,-24.81727368,20.3702193,80.50383535,-0.62465898,-0.377086232,2.828743092,-163.5245589,133.0079733,,,,,,,,,0.769125018,1,,39.37673955,high,high,10.16110158,9.153648115,54.05387557,Luke Shliger,shliglu42,Maryland
6,3/18/23,14:03:03,2,5,Nick Dean,dean-ni43,Right,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,2,2,Changeup,,BallCalled,,,,0,0,,85.03390622,-2.115850147,-0.195520343,1783.661947,227.2379696,1:30,6.394092185,1.631489533,7.392655679,-26.4179953,11.2632118,10.46968811,2.343340827,2.396918606,74.69822665,-6.58608969,2.478382195,0.459262853,,,,,,,,,,,,-5.79484018,6.820970966,-1.141959645,50,5.661459304,-1.179907811,-119.1393252,-2.997280284,-8.269893053,24.40548207,-22.43975172,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,20ed54fd-c5b7-11ed-8161-2bce67abeeb0,85.19173895,6.392021488,1.634380229,-2.090798882,-0.231482592,74.82791541,2.345683354,2.394545254,-6.547729671,2.439549446,0.459125001,10.79458427,9.660136129,14.59023178,95.82243279,1726.142649,449.3122467,96.77521306,-0.657060067,0.251904374,-0.710504226,,,,,,,,,,,,,,,,,0.908673255,1,,,high,high,3.759361653,-73.56393784,53.92734432,Luke Shliger,shliglu42,Maryland
7,3/18/23,14:03:18,2,6,Nick Dean,dean-ni43,Right,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,3,2,Four-Seam,,Foul,,,,0,0,,96.27035636,-2.326070948,-0.607096532,,,,6.157290218,1.786725482,7.296232006,,,,2.590044254,-0.172533456,81.59379547,-5.388280319,-1.43824596,0.390809714,,,,,,,,,,,,1.21183839,-1.764972191,-1.742963188,50,5.978679765,1.563462661,-140.125904,-6.751399608,2.398020198,33.06856515,-35.66662665,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,2a2164f3-c5b7-11ed-b4f5-9bea0428f4e5,96.40845489,6.151829315,1.786020408,-2.260354707,-0.598546277,81.69364568,2.59508998,-0.171970505,-5.306608539,-1.429090237,0.390712093,-2.596205009,-6.050211172,-1.78494026,71.00403136,747.287683,-23.28785076,99.95147819,0.91665977,-0.031148046,0.398452838,,,,,,,,,,,,,,,,,0.964868501,1,,,high,high,26.09627034,77.06769831,54.02376799,Luke Shliger,shliglu42,Maryland
8,3/18/23,14:03:36,2,7,Nick Dean,dean-ni43,Right,Maryland,Will Feil,feil-wi43,Left,Albany,Windup,1,Top,1,3,2,Four-Seam,,BallCalled,Walk,,,0,0,,93.03373428,-1.581709339,-0.317483717,2089.510087,211.4901313,1:00,6.284335599,2.018461859,7.266530015,-17.53492575,14.39289235,7.832972254,3.767480626,1.779084463,84.07075783,-3.523215488,0.751261333,0.404800646,,,,,,,,,,,,-4.39421588,8.380421387,-1.999529288,50,6.164590162,0.513953225,-135.4577641,-4.264589509,-8.109717675,31.44260612,-16.70761523,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,34d49e33-c5b7-11ed-a0fe-07ab6806bd72,93.21513788,6.284322259,2.021004742,-1.582137555,-0.349466545,84.23084472,3.767872996,1.777025989,-3.51625128,0.717265731,0.404666334,8.148885033,13.18631539,-4.809946155,95.66379525,2082.151497,-175.2071491,99.64783183,-0.849727103,-0.083850827,-0.520512141,,,,,,,,,,,,,,,,,0.996237455,1,,,high,high,3.903094199,46.14581788,54.05346999,Luke Shliger,shliglu42,Maryland
9,3/18/23,14:04:04,3,1,Nick Dean,dean-ni43,Right,Maryland,Will Binder,bindewi42,Right,Albany,Stretch,1,Top,1,0,0,Four-Seam,,StrikeCalled,,,,0,0,,90.45553397,-3.239085223,-3.291125005,,,,6.163813149,1.992284529,7.568565889,,,,2.072174867,-0.340627268,82.50921432,-5.640565991,-2.386340504,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,4572122e-c5b7-11ed-bb78-4fac54393e56,90.59002351,6.159802541,1.992284529,-3.190218182,-3.291125005,82.62362092,2.075625744,-0.340627268,-5.584392403,-2.386340504,0.413584617,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.75143411,Luke Shliger,shliglu42,Maryland
10,3/18/23,14:04:21,3,2,Nick Dean,dean-ni43,Right,Maryland,Will Binder,bindewi42,Right,Albany,Stretch,1,Top,1,0,1,Slider,,StrikeSwinging,,,,0,0,,84.44396759,0.359528262,0.20909788,2217.154943,156.1524879,11:15,6.359615553,1.83578989,7.132373672,-31.21448337,8.237151111,-3.664730129,3.49222299,0.437356634,76.32182137,-6.041683038,-1.848774465,0.452068267,,,,,,,,,,,,1.680180813,4.552691364,-1.719194351,50,6.197914863,2.546571133,-121.3729755,-1.173920131,2.501152624,24.21443717,-25.39681712,Maryland,Albany,shi01,NCAA D1,BIG10,7f0ba80e-e1a3-4b6f-9f10-e59d4668eef0,4f86a5e1-c5b7-11ed-85c5-7b418f5e61da,84.59666488,6.356337635,1.83778158,0.399081521,0.184415929,76.44439776,3.495170717,0.436034605,-5.993083011,-1.870310951,0.451942853,-3.42534878,6.54041632,-72.16658382,81.58180488,679.0049105,-2110.622745,30.62505454,-0.280104318,-0.951950946,0.123818284,,,,,,,,,,,,,,,,,0.990226856,1,,,high,high,16.57631228,-23.49139615,54.18762633,Luke Shliger,shliglu42,Maryland
