PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,3/21/23,16:03:01,1,1,Logan Ott,ott--lo42,Left,Maryland,Sam Gates,gatessa43,Left,George Washington,,1,Top,0,0,0,Slider,,BallCalled,,,,0,0,,76.39568391,1.458093095,0.174138389,1777.623837,270.8858053,3:00,5.940898077,-0.22662304,6.618070403,-45.62451467,2.315681488,6.088849817,3.504212731,-0.855274088,68.94263118,-6.559540979,-0.073218559,0.498335041,,,,,,,,,,,,-3.22522586,0.829302526,0.208704303,50,6.033395286,-0.510017958,-111.1504742,1.538933903,-4.024393609,20.40250259,-31.13925701,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,62b649cc-c823-11ed-ba27-d7638cb3fda9,76.5149103,5.934484937,-0.22862756,1.536611316,0.199379017,69.02716621,3.509974051,-0.853734693,-6.466666956,-0.048650989,0.498207394,5.852559966,0.003782151,74.28540124,42.50447022,481.4618015,1711.181182,27.08457164,0.004187167,0.96262277,-0.270813348,,,,,,,,,,,,,,,,,0.996860861,1,,,high,high,51.74598797,-44.78533774,54.7019296,Devin Russell,russede46,Maryland
2,3/21/23,16:03:12,1,2,Logan Ott,ott--lo42,Left,Maryland,Sam Gates,gatessa43,Left,George Washington,,1,Top,0,1,0,Four-Seam,,InPlay,,Popup,Out,1,0,,86.80654379,-1.165074218,1.844646546,1801.488945,165.0254787,11:30,6.006442979,-0.143704097,6.69806251,-23.74544964,14.93276578,-3.210484177,3.027321235,0.151095459,77.33796308,-4.577860572,0.222302673,0.438463908,90.02417583,60.43641857,5.856978342,2386.442279,31.95152749,105.2573032,144.4637792,250.5428248,,19.55739831,6.150829748,2.197156209,8.308026777,-0.003378573,50,5.899513357,-3.968694421,-126.2459761,-3.275368645,3.529484577,26.81772131,-18.82813806,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,69569f40-c823-11ed-98b4-e9c8b8cbcae7,86.98761214,6.005697592,-0.145392543,-1.156846701,1.865061101,77.49341174,3.028513821,0.152474254,-4.557846952,0.244740102,0.438308283,-3.425512661,13.4156933,27.09094721,81.72609152,1603.838167,820.4057231,89.02847681,-0.860051431,0.455404251,0.230040222,4.532554672,44.18507777,78.3038127,-0.183628499,1.16410637,3.387471845,83.86946611,236.0881609,56.05036847,-38.11357405,0.052356931,0.492931081,0.860424473,-0.129184656,,,0.994390942,1,0.973716161,46.93754986,high,high,16.44675458,84.51688067,54.62193749,Devin Russell,russede46,Maryland
3,3/21/23,16:03:39,2,1,Logan Ott,ott--lo42,Left,Maryland,Steve Ditomaso,ditomst42,Right,George Washington,,1,Top,1,0,0,Changeup,,BallCalled,,,,0,0,,83.8788858,0.187853983,0.861813214,1548.926897,156.7497682,11:15,5.776121552,-0.731629182,6.520856772,-27.74960746,14.2034914,-5.169889,3.753375616,-1.507356238,74.43708,-4.136560999,-1.239038825,0.466179901,,,,,,,,,,,,2.694639317,7.301199514,0.853781469,50,5.135768169,0.713275574,-119.1850132,1.386242963,3.85216888,24.2220917,-21.73649181,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,78fe31fd-c823-11ed-8c93-295a5c6ae43c,84.05701368,5.774739691,-0.733581164,0.203855384,0.885685402,74.58840629,3.755167067,-1.505739186,-4.10692898,-1.21284619,0.466023565,-5.417965669,12.44727288,13.27250251,38.85048779,1507.553768,355.606762,97.32891661,-0.894247976,0.229582663,0.384203537,,,,,,,,,,,,,,,,,0.99747099,1,,,high,high,55.03454334,-6.388344373,54.79914323,Devin Russell,russede46,Maryland
4,3/21/23,16:03:50,2,2,Logan Ott,ott--lo42,Left,Maryland,Steve Ditomaso,ditomst42,Right,George Washington,,1,Top,1,1,0,Changeup,,StrikeCalled,,,,0,0,,82.9066172,-0.737456659,1.346821928,1587.87092,153.536122,11:00,5.716121272,-0.527021641,6.687976831,-26.55478489,14.13089333,-5.995480301,2.895851251,-0.975592307,74.07705757,-4.624267538,-1.000930359,0.459084154,,,,,,,,,,,,3.628576316,7.839654831,0.421588264,50,5.641116842,-2.654343853,-120.6133833,-2.35626584,5.318504491,24.55491551,-20.68325105,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,7fe70efa-c823-11ed-a19e-677e2cb834c2,83.08038686,5.714630639,-0.529098873,-0.720242735,1.371989002,74.22548395,2.897660158,-0.973899996,-4.594476829,-0.973593834,0.458920916,-6.226148658,12.50031298,6.205801039,49.04742517,1578.566035,171.6488642,99.41400241,-0.889969547,0.108100011,0.443022113,,,,,,,,,,,,,,,,,0.997337493,1,,,high,high,45.8572616,9.679598785,54.63202317,Devin Russell,russede46,Maryland
5,3/21/23,16:04:02,2,3,Logan Ott,ott--lo42,Left,Maryland,Steve Ditomaso,ditomst42,Right,George Washington,,1,Top,1,1,1,Changeup,,InPlay,,FlyBall,Out,1,0,,82.29031735,-1.124576599,1.87186917,1509.887362,147.0092146,11:00,5.712974137,-0.534813198,6.667687008,-28.58831426,12.7359887,-6.698561213,2.325725449,-0.816323718,73.08817732,-5.831251459,-1.35656064,0.462673143,85.6384333,33.78783465,-3.343678373,1920.290778,,,,254.2580609,,-4.817892536,3.075295821,4.152750725,7.19058273,0.386677013,50,5.604911659,-3.709310603,-119.6768562,-3.212441182,5.998528379,23.96430594,-21.78746069,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,87110851-c823-11ed-b975-e7b1a9eabb48,82.45829996,5.710980381,-0.537390386,-1.101067483,1.903404267,73.22892764,2.328066504,-0.814169923,-5.793122181,-1.321794777,0.462514016,-6.988466842,11.06489037,17.77690787,38.33781533,1437.794046,460.9860397,95.22525201,-0.798709561,0.305311543,0.518505448,-4.151247828,71.05315763,47.62517393,0.779533264,2.649981136,2.631508683,-21.35488732,253.3596857,-4.456041897,-51.72263206,-0.829432567,-0.975668273,-0.119528902,0.18380496,,,0.980287869,1,0.73202469,47.84760342,high,high,55.4959742,8.852437563,54.65231299,Devin Russell,russede46,Maryland
6,3/21/23,16:04:29,3,1,Logan Ott,ott--lo42,Left,Maryland,Eddie Micheletti jr.,micheed43,Left,George Washington,,1,Top,2,0,0,Slider,,StrikeCalled,,,,0,0,,79.69760045,0.994257333,2.251646123,1846.655907,290.9782736,3:45,5.92385348,-0.344909859,6.565950342,-42.6226961,1.556408511,4.462582203,3.219120275,0.650097949,71.31011357,-6.865360678,1.603283937,0.47838767,,,,,,,,,,,,-1.754831385,0.552469729,0.155272086,50,5.980502441,-4.689029302,-115.8785409,0.744073608,-2.380701938,22.10733885,-31.4245384,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,971dc378-c823-11ed-8fc6-13b5f8c2a3df,79.8212168,5.917627286,-0.347547258,1.068348877,2.283752091,71.39588553,3.224641339,0.652117346,-6.776971547,1.635394908,0.478266585,4.162505381,-0.575963832,79.16239571,47.66895575,347.2192413,1813.719062,18.80259554,0.067315908,0.98216406,-0.17556289,,,,,,,,,,,,,,,,,0.995921312,1,,,high,high,47.09794038,-39.33264036,54.75404966,Devin Russell,russede46,Maryland
7,3/21/23,16:04:41,3,2,Logan Ott,ott--lo42,Left,Maryland,Eddie Micheletti jr.,micheed43,Left,George Washington,,1,Top,2,0,1,Slider,,InPlay,,LineDrive,Out,1,0,,76.75906797,0.280680688,0.324111563,1774.511869,291.6377748,3:45,5.959759087,-0.152975447,6.76683051,-47.84029951,0.55837371,5.238479818,2.539712838,0.249573259,69.56076625,-7.637235134,0.540082185,0.494425815,85.53151516,10.60672043,20.0782614,,,,,164.3329243,,19.85152999,1.50089323,-2.852622703,0.316351914,0.124158811,50,5.955964533,-0.782839738,-111.7383981,-0.738446338,-3.59656478,20.65304414,-31.77519552,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,9e4f5bf3-c823-11ed-b97f-7b9852f5cff5,76.8700504,5.952916991,-0.155365647,0.364318024,0.354076694,69.63836232,2.545725155,0.251425124,-7.541435341,0.569514671,0.494306998,4.907423394,-1.874502329,76.51608013,28.78066908,413.7672733,1725.598162,23.31724462,0.085979418,0.972435402,-0.216741619,28.86154974,78.96070718,15.74349874,0.210434623,3.773170378,2.945329375,55.80482866,154.5675616,,,,,,,,,0.997561395,1,,49.17548337,high,high,64.09741881,-32.90905153,54.55316949,Devin Russell,russede46,Maryland
8,3/21/23,16:06:58,1,1,Max Haug,haug-ma43,Right,George Washington,Luke Shliger,shliglu42,Left,Maryland,,1,Bottom,0,0,0,Sinker,,BallCalled,,,,0,0,,87.52277541,-0.691300092,-3.259169171,1982.748837,243.4028908,2:00,5.81448214,3.705089401,7.208084723,-27.82850263,8.060746707,13.34890593,3.148044188,1.831363385,78.05876631,-4.778388143,-0.348875029,0.431175137,,,,,,,,,,,,-8.301451522,4.636196869,-3.477141016,50,5.751855256,6.861640645,-127.2631551,-2.34132263,-13.53515316,27.5373539,-24.61493362,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,f01ea30c-c823-11ed-928f-5f83b1c5057e,87.68053442,5.811440135,3.708944754,-0.655051045,-3.305752547,78.18727891,3.150862863,1.828368888,-4.732055106,-0.397826638,0.43104642,13.77322983,6.436657932,18.94870017,82.53450947,1875.303069,643.8410889,94.58096934,-0.423452217,0.324721456,-0.84572111,,,,,,,,,,,,,,,,,0.991629859,1,,,high,high,15.71884683,-78.58724618,54.11191528,Tim Nicholson,nichoti43,George Washington
9,3/21/23,16:07:10,1,2,Max Haug,haug-ma43,Right,George Washington,Luke Shliger,shliglu42,Left,Maryland,,1,Bottom,0,1,0,Four-Seam,,BallCalled,,,,0,0,,89.52969105,-2.965032164,-6.916557462,2142.116427,229.720679,1:45,5.755372828,3.536426593,7.506476525,-22.1887071,12.0883269,12.02966518,1.386543489,-2.825731063,79.21604764,-6.387190279,-6.036073826,0.421379244,,,,,,,,,,,,-8.669335528,7.569180053,-3.078696706,50,5.54740762,15.36117463,-129.3664213,-7.36179466,-14.65062287,27.69025631,-19.38261914,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,f6f90d99-c823-11ed-a322-291da7573f0e,89.69877639,5.754171647,3.540525265,-2.950851534,-6.965808062,79.35612606,1.388015714,-2.828922967,-6.362087612,-6.088211972,0.421250926,12.48161361,10.83333991,-7.26292109,80.17257463,2124.92908,-270.8120987,99.19764645,-0.641327146,-0.12642268,-0.756780548,,,,,,,,,,,,,,,,,0.997768394,1,,,high,high,17.84453428,41.43266193,53.81352348,Tim Nicholson,nichoti43,George Washington
10,3/21/23,16:07:28,1,3,Max Haug,haug-ma43,Right,George Washington,Luke Shliger,shliglu42,Left,Maryland,,1,Bottom,0,2,0,Sinker,,InPlay,,FlyBall,HomeRun,0,1,,89.63941928,-1.738940158,-4.332604673,2057.730814,239.4792308,2:00,5.681353074,3.725461433,7.64390869,-25.49124904,9.447542904,13.33280131,2.339029865,-0.056259329,80.21564871,-5.367990637,-2.852718102,0.41786981,101.0904884,34.96816531,4.96608603,2635.458607,,,,399.3012779,,-2.599907845,5.888073308,-8.61009254,5.709647407,-3.451919579,50,5.560208465,9.513482609,-130.2305309,-4.620371098,-14.71490435,28.59068976,-22.41609228,Maryland,George Washington,shi01,NCAA D1,BIG10,36a8de28-2057-4199-9a73-77f3a9dc2311,01891f28-c824-11ed-87fd-1f23be3cd206,89.80606141,5.679110075,3.730113634,-1.713619299,-4.386071294,80.34939701,2.341099917,-0.059604598,-5.333747554,-2.907178608,0.417741406,13.84105504,7.981889819,1.549692743,67.73110694,2056.97819,55.6491556,99.96342457,-0.507664913,0.027043943,-0.861130049,7.171192408,82.52970937,57.93710306,0.110148379,0.97620704,2.413823333,-18.11285755,398.8902542,-50.99125091,21.20287676,1.337266709,0.907628721,-0.12609998,0.400385939,,,0.99631092,1,0.997802657,57.91233879,high,high,29.04202395,-56.80881559,53.67609131,Tim Nicholson,nichoti43,George Washington
