PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5
1,2/24/23,18:02:50,1,1,Jack Dougherty,FGS 10020101,Right,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.38108,0.584481,0.830441,2207.860028,116.293407,10:00:00,6.05036,1.51116,5.87342,-34.6001,7.31626,-12.32091,3.70998,1.2558,74.9769,-5.819264,-1.381122,0.465976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49048,3.99351,-1.57135,50,6.07763,-1.23503,-118.30513,0.107,9.25703,21.22763,-26.47833,Ole Miss,Maryland,OleMiss,D1,SEC,20230224-OleMiss-1,bf010bf0-b49f-11ed-8bc4-6f87a506f712,80.88927,NA,NA,6.40418,NA,NA,NA,NA,NA,NA,98ea4655-e2c1-4556-8ee6-48baa14554f2,2/25/23,0:02:50,2/25/23,2/25/23 0:02,NA,v3,5322,471349,24 February 2023 17:00-maryland@olemiss,Calvin Harris,FGS 1000050294,Right,Ole Miss,1865c4af-ab84-4561-b6e5-004608b3c2c0,54.62644,-119.13236,10.61382,6.05336,1.13885,-13.23916,-1.51619,-1.59577,4.62852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2/25/23,13:33:10,1,1,Grayson Saunier,FGS 1000187633,Right,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,0,0,Four-Seam,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.90801,-3.962672,-2.196554,2180.865073,226.088763,1:30:00,5.9659,1.29619,5.76829,-17.763,15.09387,14.50851,0.78915,0.45999,84.60524,-7.300587,0.401561,0.412558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.05961,9.20563,-1.12339,50,5.62675,4.51334,-134.49885,-9.90011,-14.67135,30.87395,-15.41651,Ole Miss,Maryland,OleMiss,D1,SEC,20230225-OleMiss-1,3de1fc10-b543-11ed-99f9-43c5f2fedb29,91.36283,NA,NA,8.30277,NA,NA,NA,NA,NA,NA,1e3fa633-b5e9-43ee-b6db-ff7457bdb121,2/25/23,19:33:10,2/25/23,2/25/23 19:33,NA,v3,5322,471349,NA,Calvin Harris,FGS 1000050294,Right,Ole Miss,e70cd333-c5ab-4b81-8f39-ff93132e66d7,54.73132,-135.58057,15.43698,5.96416,-9.35997,-7.70825,-1.29052,5.02738,-7.33568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2/26/23,13:33:10,1,1,Xavier Rivas,FGS 1000098247,Left,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,80.24933,-2.082869,3.460202,2217.674256,275.853693,3:15:00,6.01354,-2.39417,5.09289,-44.54888,1.13496,5.1502,0.33369,1.30003,72.94669,-10.131774,4.370379,0.486466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42252,1.70721,2.0625,50,5.78145,-7.22557,-115.97292,-5.81486,-1.90125,25.45681,-29.89227,Ole Miss,Maryland,OleMiss,D1,SEC,20230226-OleMiss-1,67c9e1e0-b60c-11ed-9b05-93b3afdf078c,77.48211,NA,NA,7.30264,NA,NA,NA,NA,NA,NA,d8a8defe-47cc-4bcd-a047-058fdee8f648,2/26/23,19:33:10,2/26/23,2/26/23 19:33,NA,v3,5322,471349,26 February 2023 14:30-maryland@olemiss,Calvin Harris,FGS 1000050294,Right,Ole Miss,b4030ead-35e9-439c-bf9e-591f5493a8a4,55.40569,-117.1535,12.72841,6.01898,-4.42859,-14.94614,2.39555,-7.1374,-0.95063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2/24/23,18:03:08,1,2,Jack Dougherty,FGS 10020101,Right,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,1,0,Four-Seam,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,94.93571,-3.638574,-2.498788,2543.252778,203.628893,12:45:00,5.87595,1.2216,6.68994,-9.32441,20.97777,8.73095,1.76353,-0.33759,86.40453,-5.501518,-0.910209,0.396195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.32642,12.4267,-1.05803,50,5.62863,5.65442,-137.67037,-8.92221,-10.17345,31.93167,-8.43904,Ole Miss,Maryland,OleMiss,D1,SEC,20230224-OleMiss-1,c9b4c320-b49f-11ed-8bc4-6f87a506f712,95.1362,NA,NA,8.53118,NA,NA,NA,NA,NA,NA,98ea4655-e2c1-4556-8ee6-48baa14554f2,2/25/23,0:03:08,2/25/23,2/25/23 0:03,NA,v3,5322,471349,24 February 2023 17:00-maryland@olemiss,Calvin Harris,FGS 1000050294,Right,Ole Miss,94b45e23-6948-46cf-95c4-f33b9a5d1822,53.80933,-138.55109,15.96583,5.87151,-8.68945,-4.21952,-1.21786,5.93502,-5.08673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2/25/23,13:33:25,1,2,Grayson Saunier,FGS 1000187633,Right,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,1,0,Four-Seam,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,91.59449,-1.814847,-3.496455,2264.577474,201.708704,12:45:00,5.96839,1.34161,5.7872,-13.04965,20.98997,7.85756,3.1888,-1.26049,82.37516,-4.360481,-2.093224,0.419917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1665,11.67642,-1.0581,50,5.81114,7.75615,-132.56755,-4.55169,-9.04755,32.55397,-11.72628,Ole Miss,Maryland,OleMiss,D1,SEC,20230225-OleMiss-1,46c7d110-b543-11ed-99f9-43c5f2fedb29,89.76156,NA,NA,9.21933,NA,NA,NA,NA,NA,NA,1e3fa633-b5e9-43ee-b6db-ff7457bdb121,2/25/23,19:33:25,2/25/23,2/25/23 19:33,NA,v3,5322,471349,NA,Calvin Harris,FGS 1000050294,Right,Ole Miss,d2e367b2-015e-4554-895a-c59e909795db,54.71132,-133.71949,16.27698,5.96486,-4.13675,-5.86314,-1.33821,8.0763,-4.52378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2/26/23,13:33:32,1,2,Xavier Rivas,FGS 1000098247,Left,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,0,1,Four-Seam,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,89.75293,-2.4842,4.398126,2160.966882,147.539751,11:00:00,6.06382,-2.1123,5.76409,-13.66607,21.5717,-12.95013,2.60458,0.91005,81.4674,-5.125641,2.089705,0.427244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83382,12.03477,1.75524,50,5.84919,-9.41272,-129.81051,-6.00248,13.30531,28.34421,-11.73368,Ole Miss,Maryland,OleMiss,D1,SEC,20230226-OleMiss-1,74e5bf70-b60c-11ed-9b05-93b3afdf078c,88.22236,NA,NA,8.28553,NA,NA,NA,NA,NA,NA,d8a8defe-47cc-4bcd-a047-058fdee8f648,2/26/23,19:33:32,2/26/23,2/26/23 19:33,NA,v3,5322,471349,26 February 2023 14:30-maryland@olemiss,Calvin Harris,FGS 1000050294,Right,Ole Miss,9c329087-c1f0-47ee-a6b3-ebb11f85cec7,54.73386,-130.84007,14.17211,6.05949,-5.57628,-5.86684,2.10592,-9.89601,6.65266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2/24/23,18:03:27,1,3,Jack Dougherty,FGS 10020101,Right,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,1,1,Four-Seam,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.52294,-2.15824,-2.705296,2441.518918,193.154613,12:30:00,5.76847,1.38656,6.9515,-10.8776,19.93568,4.42351,2.89487,-0.70848,85.19308,-4.318679,-1.896798,0.399522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.11811,11.51229,-1.21965,50,5.62957,6.24456,-135.81529,-5.31191,-5.80316,30.74472,-10.74847,Ole Miss,Maryland,OleMiss,D1,SEC,20230224-OleMiss-1,d52c1870-b49f-11ed-8bc4-6f87a506f712,94.34386,NA,NA,8.32986,NA,NA,NA,NA,NA,NA,98ea4655-e2c1-4556-8ee6-48baa14554f2,2/25/23,0:03:27,2/25/23,2/25/23 0:03,NA,v3,5322,471349,24 February 2023 17:00-maryland@olemiss,Calvin Harris,FGS 1000050294,Right,Ole Miss,bdcc94ba-01a8-4c0d-8182-32b863421ede,53.5465,-136.61576,15.37236,5.76423,-5.03207,-5.37424,-1.3842,6.39566,-2.90158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2/25/23,13:33:59,2,1,Grayson Saunier,FGS 1000187633,Right,Ole Miss,Matt Shaw,FGS 1000100703,Right,Maryland,Undefined,1,Top,0,0,0,Four-Seam,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,NA,91.90416,-2.42546,-2.665841,1985.493256,207.612993,1:00:00,6.00719,1.21132,5.53803,-15.07879,18.62741,9.15697,2.4798,-0.5191,83.70619,-5.290192,-1.035443,0.417856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2878,10.36091,-0.98567,50,5.7864,5.75866,-133.10845,-6.09511,-9.47427,28.92679,-13.61013,Ole Miss,Maryland,OleMiss,D1,SEC,20230225-OleMiss-1,5af782c0-b543-11ed-99f9-43c5f2fedb29,90.20448,NA,NA,8.19797,NA,NA,NA,NA,NA,NA,1e3fa633-b5e9-43ee-b6db-ff7457bdb121,2/25/23,19:33:59,2/25/23,2/25/23 19:33,NA,v3,5322,471349,NA,Calvin Harris,FGS 1000050294,Right,Ole Miss,f35a7eed-8bc4-43cc-a6aa-b08195a49f6c,54.95715,-134.1814,14.4634,6.00311,-5.59028,-6.80507,-1.20578,6.11008,-4.73714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2/26/23,13:33:52,1,3,Xavier Rivas,FGS 1000098247,Left,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.91543,-1.303292,5.043153,2174.830576,318.050399,4:30:00,5.96439,-2.39464,5.36456,-43.21416,-0.61221,1.68528,1.13615,2.48703,75.84318,-9.101693,5.341141,0.469771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49858,0.45602,1.93955,50,5.81623,-10.52817,-118.51829,-4.25025,0.71216,21.75088,-31.52268,Ole Miss,Maryland,OleMiss,D1,SEC,20230226-OleMiss-1,80a652c0-b60c-11ed-9b05-93b3afdf078c,80.23577,NA,NA,6.07226,NA,NA,NA,NA,NA,NA,d8a8defe-47cc-4bcd-a047-058fdee8f648,2/26/23,19:33:52,2/26/23,2/26/23 19:33,NA,v3,5322,471349,26 February 2023 14:30-maryland@olemiss,Calvin Harris,FGS 1000050294,Right,Ole Miss,98664eeb-2aac-4928-920c-6c10a054e4d0,55.13599,-119.45714,10.87544,5.97032,-2.88961,-15.76134,2.39465,-10.55891,0.35608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2/24/23,18:03:47,1,4,Jack Dougherty,FGS 10020101,Right,Ole Miss,Luke Shliger,FGS 1000076704,Left,Maryland,Undefined,1,Top,0,2,1,Four-Seam,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,94.48334,-2.471279,-1.68607,2438.260467,189.652446,12:15:00,5.81818,1.35846,6.73976,-9.91166,20.44143,3.31047,2.73182,0.09332,86.24135,-4.440611,-1.082767,0.396527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.21158,11.76119,-1.24858,50,5.65079,3.90557,-137.25248,-6.09934,-4.21313,30.75228,-9.76839,Ole Miss,Maryland,OleMiss,D1,SEC,20230224-OleMiss-1,e14504f0-b49f-11ed-8bc4-6f87a506f712,95.05645,NA,NA,8.24199,NA,NA,NA,NA,NA,NA,98ea4655-e2c1-4556-8ee6-48baa14554f2,2/25/23,0:03:47,2/25/23,2/25/23 0:03,NA,v3,5322,471349,24 February 2023 17:00-maryland@olemiss,Calvin Harris,FGS 1000050294,Right,Ole Miss,22312e93-f64c-4d0b-b485-06c086982600,53.75849,-138.09203,15.37614,5.81367,-5.83266,-4.8842,-1.35677,4.02059,-2.10657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
